date,game,score,league,season,game_id,home,away,score_home,actual,predicted,prob_home,prob_draw,prob_away,correct,odds_1,odds_X,odds_2,odds_outcome,return
2020-01-24,AIK  - Västerås IK,3 - 4,allsvenskan,2019/20,441545,AIK,Västerås IK,3,draw,draw,0.31,0.4,0.29,1,3.55,4.45,1.8,4.45,4.45
2020-01-25,Timrå IK  - HC Vita Hästen,3 - 2,allsvenskan,2019/20,441546,Timrå IK,HC Vita Hästen,3,draw,home,0.51,0.19,0.3,0,,,,,-1.0
2020-01-25,IF Björklöven  - Karlskrona HK,4 - 1,allsvenskan,2019/20,441547,IF Björklöven,Karlskrona HK,4,home,home,0.57,0.19,0.24,1,,,,,
2020-01-25,Västerviks IK  - MODO Hockey,3 - 2,allsvenskan,2019/20,441548,Västerviks IK,MODO Hockey,3,draw,away,0.29,0.26,0.45,0,4.4,4.8,1.6,4.8,-1.0
2020-01-29,AIK  - Almtuna IS,1 - 6,allsvenskan,2019/20,441277,AIK,Almtuna IS,1,away,home,0.43,0.25,0.32,0,2.55,4.15,2.33,2.33,-1.0
2020-01-29,HC Vita Hästen  - Tingsryds AIF,3 - 2,allsvenskan,2019/20,441549,HC Vita Hästen,Tingsryds AIF,3,draw,home,0.57,0.21,0.22,0,1.75,4.2,3.95,4.2,-1.0
2020-01-29,Karlskrona HK  - Mora IK,2 - 3,allsvenskan,2019/20,441551,Karlskrona HK,Mora IK,2,draw,home,0.43,0.28,0.29,0,2.39,4.2,2.46,4.2,-1.0
2020-01-29,Södertälje SK  - Timrå IK,3 - 2,allsvenskan,2019/20,441552,Södertälje SK,Timrå IK,3,draw,away,0.25,0.33,0.42,0,2.88,4.2,2.1,4.2,-1.0
2020-01-29,Västerås IK  - Västerviks IK,7 - 2,allsvenskan,2019/20,441553,Västerås IK,Västerviks IK,7,home,home,0.5,0.23,0.27,1,1.62,4.5,4.5,1.62,1.62
2020-01-29,MODO Hockey  - IF Björklöven,4 - 2,allsvenskan,2019/20,441554,MODO Hockey,IF Björklöven,4,home,home,0.41,0.21,0.38,1,2.43,4.15,2.53,2.43,2.43
2020-01-29,Kristianstads IK  - BIK Karlskoga,4 - 3,allsvenskan,2019/20,441555,Kristianstads IK,BIK Karlskoga,4,home,away,0.18,0.18,0.64,0,3.7,4.8,1.72,3.7,-1.0
2020-01-31,Västerviks IK  - Almtuna IS,4 - 3,allsvenskan,2019/20,441556,Västerviks IK,Almtuna IS,4,home,home,0.5,0.11,0.39,1,2.25,4.0,2.72,2.25,2.25
2020-01-31,IF Björklöven  - Västerås IK,1 - 0,allsvenskan,2019/20,441557,IF Björklöven,Västerås IK,1,home,home,0.44,0.21,0.35,1,1.51,4.7,5.3,1.51,1.51
2020-01-31,Mora IK  - MODO Hockey,5 - 4,allsvenskan,2019/20,441558,Mora IK,MODO Hockey,5,home,home,0.4,0.29,0.31,1,3.8,4.9,1.68,3.8,3.8
2020-01-31,BIK Karlskoga  - HC Vita Hästen,6 - 4,allsvenskan,2019/20,441559,BIK Karlskoga,HC Vita Hästen,6,home,home,0.57,0.21,0.22,1,1.82,4.2,3.65,1.82,1.82
2020-01-31,Timrå IK  - Tingsryds AIF,3 - 2,allsvenskan,2019/20,441560,Timrå IK,Tingsryds AIF,3,home,home,0.38,0.34,0.28,1,1.58,4.6,4.7,1.58,1.58
2020-02-01,Kristianstads IK  - AIK,1 - 3,allsvenskan,2019/20,441561,Kristianstads IK,AIK,1,away,home,0.62,0.06,0.32,0,,,,,-1.0
2020-02-01,Södertälje SK  - Karlskrona HK,3 - 2,allsvenskan,2019/20,441562,Södertälje SK,Karlskrona HK,3,home,home,0.47,0.26,0.27,1,1.93,4.4,3.15,1.93,1.93
2020-02-05,Almtuna IS  - IF Björklöven,2 - 3,allsvenskan,2019/20,441563,Almtuna IS,IF Björklöven,2,draw,away,0.34,0.16,0.5,0,5.05,4.55,1.55,4.55,-1.0
2020-02-05,HC Vita Hästen  - AIK,2 - 0,allsvenskan,2019/20,441564,HC Vita Hästen,AIK,2,home,home,0.5,0.2,0.3,1,,,,,
2020-02-05,Västerås IK  - Mora IK,4 - 6,allsvenskan,2019/20,441565,Västerås IK,Mora IK,4,away,home,0.59,0.2,0.21,0,1.82,4.3,3.6,3.6,-1.0
2020-02-05,MODO Hockey  - Södertälje SK,2 - 5,allsvenskan,2019/20,441566,MODO Hockey,Södertälje SK,2,away,home,0.58,0.25,0.17,0,1.36,5.65,6.7,6.7,-1.0
2020-02-05,Karlskrona HK  - Timrå IK,1 - 5,allsvenskan,2019/20,441567,Karlskrona HK,Timrå IK,1,away,away,0.42,0.14,0.44,1,3.35,4.15,1.91,1.91,1.91
2020-02-05,Tingsryds AIF  - BIK Karlskoga,2 - 3,allsvenskan,2019/20,441568,Tingsryds AIF,BIK Karlskoga,2,away,home,0.43,0.21,0.36,0,3.35,4.7,1.81,1.81,-1.0
2020-02-05,Kristianstads IK  - Västerviks IK,2 - 3,allsvenskan,2019/20,441569,Kristianstads IK,Västerviks IK,2,away,home,0.45,0.17,0.38,0,2.46,3.75,2.57,2.57,-1.0
2020-02-07,IF Björklöven  - Kristianstads IK,3 - 1,allsvenskan,2019/20,441570,IF Björklöven,Kristianstads IK,3,home,home,0.59,0.18,0.23,1,1.25,6.7,8.7,1.25,1.25
2020-02-07,Västerviks IK  - HC Vita Hästen,5 - 3,allsvenskan,2019/20,441571,Västerviks IK,HC Vita Hästen,5,home,away,0.36,0.25,0.39,0,2.36,4.0,2.6,2.36,-1.0
2020-02-07,BIK Karlskoga  - AIK,3 - 2,allsvenskan,2019/20,441580,BIK Karlskoga,AIK,3,home,home,0.61,0.19,0.2,1,,,,,
2020-02-08,Mora IK  - Almtuna IS,2 - 0,allsvenskan,2019/20,441572,Mora IK,Almtuna IS,2,home,home,0.58,0.19,0.23,1,1.62,4.4,4.55,1.62,1.62
2020-02-08,Karlskrona HK  - MODO Hockey,1 - 3,allsvenskan,2019/20,441573,Karlskrona HK,MODO Hockey,1,away,away,0.27,0.19,0.54,1,3.85,4.8,1.68,1.68,1.68
2020-02-10,Timrå IK  - BIK Karlskoga,4 - 0,allsvenskan,2019/20,441574,Timrå IK,BIK Karlskoga,4,home,home,0.41,0.24,0.35,1,1.87,4.3,3.4,1.87,1.87
2020-02-10,Södertälje SK  - Västerås IK,4 - 2,allsvenskan,2019/20,441575,Södertälje SK,Västerås IK,4,home,away,0.28,0.15,0.57,0,2.25,4.1,2.67,2.25,-1.0
2020-02-10,AIK  - Tingsryds AIF,1 - 0,allsvenskan,2019/20,441576,AIK,Tingsryds AIF,1,home,home,0.43,0.3,0.27,1,2.52,4.25,2.33,2.52,2.52
2020-02-12,HC Vita Hästen  - IF Björklöven,3 - 5,allsvenskan,2019/20,441577,HC Vita Hästen,IF Björklöven,3,away,away,0.36,0.1,0.54,1,4.1,4.35,1.7,1.7,1.7
