Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
Davos - ZSC Lions,3 - 3,2020-01-07,3 , 3,40,24,36,"2,11","4,35","2,65",Davos , ZSC Lions,X,"4,35"
Villacher - EHC Linz,3 - 2,2020-01-07,3 , 2,44,23,33,"2,21","4,35","2,40",Villacher , EHC Linz,1,"2,21"
EC Graz - Fehervar,5 - 1,2020-01-07,5 , 1,45,22,33,"1,74","4,90","3,12",EC Graz , Fehervar,1,"1,74"
EC KAC - Bolzano,0 - 1,2020-01-07,0 , 1,61,19,20,"1,45","5,45","4,45",EC KAC , Bolzano,2,"4,45"
Tampa Bay - Vancouver,9 - 2,2020-01-07,9 , 2,51,22,27,"1,72","4,55","4,00",Tampa Bay , Vancouver,1,"1,72"
Washingt. - Ottawa,6 - 1,2020-01-07,6 , 1,72,14,14,"1,57","5,05","4,65",Washingt. , Ottawa,1,"1,57"
N.Jersey - NY Island,3 - 3,2020-01-07,3 , 3,32,26,42,"2,67","4,00","2,34",N.Jersey , NY Island,X,"4,00"
AIK - Björklöv.,2 - 5,2020-01-08,2 , 5,13,13,74,"7,05","5,80","1,34",AIK,IF Björklöven,2,"1,34"
Kristian. - MODO,2 - 5,2020-01-08,2 , 5,15,18,67,"5,15","5,65","1,45",Kristianstads IK,MODO Hockey,2,"1,45"
BIK Karls - Mora,4 - 5,2020-01-08,4 , 5,75,14,11,"1,40","5,50","5,95",BIK Karlskoga,Mora IK,2,"5,95"
Tingsryd - Södertäl.,3 - 3,2020-01-08,3 , 3,39,25,36,"2,27","3,95","2,72",Tingsryds AIF,Södertälje SK,X,"3,95"
Vita Häst - Karlskron,2 - 1,2020-01-08,2 , 1,45,23,32,"1,72","4,30","4,05",HC Vita Hästen,Karlskrona HK,1,"1,72"
Almtuna - Västerås,2 - 2,2020-01-08,2 , 2,28,23,49,"2,92","4,10","2,11",Almtuna IS,Västerås IK,X,"4,10"
Borlänge - Östersund,4 - 1,2020-01-08,4 , 1,34,23,43,"2,62","4,30","2,11",Borlänge , Östersund,1,"2,62"
Huddinge - Kall./Rby,1 - 6,2020-01-08,1 , 6,49,22,29,"1,78","4,70","3,20",Huddinge IK, Kall./Rby,2,"3,20"
Skelleft. - Frölunda,4 - 2,2020-01-09,4 , 2,36,22,42,"2,57","4,15","2,41",Skellefteå AIK,Frölunda HC,1,"2,57"
Djurgård. - HV71,5 - 3,2020-01-09,5 , 3,38,24,38,"2,31","4,15","2,70",Djurgårdens IF,HV 71,1,"2,31"
Örebro - Växjö Lak,2 - 1,2020-01-09,2 , 1,39,22,39,"2,32","4,15","2,70",Örebro HK,Växjö Lakers HC,1,"2,32"
Leksand - Linköping,2 - 2,2020-01-09,2 , 2,43,22,35,"2,07","4,35","3,00",Leksands IF,Linköping HC,X,"4,35"
Oskarsh. - Luleå,4 - 2,2020-01-09,4 , 2,12,14,74,"5,70","4,80","1,51",IK Oskarshamn,Luleå HF,1,"5,70"
Brynäs - Rögle,5 - 2,2020-01-09,5 , 2,32,21,47,"2,75","4,20","2,26",Brynäs IF,Rögle BK,1,"2,75"
Färjestad - Malmö,5 - 1,2020-01-09,5 , 1,65,19,16,"1,70","4,55","4,20",Färjestad BK,IF Malmö Redhawks,1,"1,70"
Färjestad - Malmö Redhawks,0 - 0,2020-01-09,0 , 0,33,48,19,,,,Färjestad BK,IF Malmö Redhawks,X,
Södertäl. - BIK Karls,4 - 3,2020-01-10,4 , 3,32,23,45,"3,02","4,55","1,95",Södertälje SK,BIK Karlskoga,1,"3,02"
Karlskron - Tingsryd,4 - 3,2020-01-10,4 , 3,52,23,25,"1,99","4,10","3,17",Karlskrona HK,Tingsryds AIF,1,"1,99"
Västervik - Björklöv.,0 - 2,2020-01-10,0 , 2,17,17,66,"5,20","4,85","1,51",Västerviks IK,IF Björklöven,2,"1,51"
Mora - AIK,5 - 2,2020-01-10,5 , 2,59,20,21,"1,62","4,60","4,40",Mora IK,Skellefteå AIK,1,"1,62"
Grums - Troja/Lju,2 - 2,2020-01-10,2 , 2,15,16,69,"5,50","5,45","1,38",Grums ,IF Troja/Ljungby,X,"5,45"
Skövde - Kall./Rby,6 - 2,2020-01-10,6 , 2,21,19,60,"3,40","4,90","1,70",Skövde , Kall./Rby,1,"3,40"
Tranås - Mariestad,2 - 3,2020-01-10,2 , 3,32,22,46,"3,05","4,65","1,84",Tranås ,Mariestad BoIS HC,2,"1,84"
Borlänge - Hudiksval,2 - 3,2020-01-10,2 , 3,40,27,33,"2,20","4,30","2,50",Borlänge , Hudiksval,2,"2,50"
HV71 - Skelleft.,2 - 2,2020-01-11,2 , 2,41,24,35,"2,03","4,10","3,25",HV 71,Skellefteå AIK,X,"4,10"
Rögle - Leksand,2 - 2,2020-01-11,2 , 2,66,18,16,"1,46","5,25","5,90",Rögle BK,Leksands IF,X,"5,25"
Linköping - Brynäs,2 - 2,2020-01-11,2 , 2,34,26,40,"2,37","4,10","2,63",Linköping HC,Brynäs IF,X,"4,10"
Färjestad - Oskarsh.,5 - 1,2020-01-11,5 , 1,78,13,9,"1,38","5,35","7,35",Färjestad BK,IK Oskarshamn,1,"1,38"
Växjö Lak - Malmö,0 - 1,2020-01-11,0 , 1,54,23,23,"1,80","4,30","3,90",Växjö Lakers HC,IF Malmö Redhawks,2,"3,90"
Örebro - Frölunda,5 - 3,2020-01-11,5 , 3,33,25,42,"2,85","4,10","2,22",Örebro HK,Frölunda HC,1,"2,85"
Luleå - Djurgård.,2 - 2,2020-01-11,2 , 2,55,23,22,"1,76","4,20","4,20",Luleå HF,Djurgårdens IF,X,"4,20"
MODO - Vita Häst,5 - 0,2020-01-11,5 , 0,72,16,12,"1,55","4,85","4,75",MODO Hockey,HC Vita Hästen,1,"1,55"
Visby/Rom - Tranås,1 - 3,2020-01-12,1 , 3,61,19,20,"1,74","4,70","3,35",Visby/Rom , Tranås,2,"3,35"
Troja/Lju - Halmstad,5 - 1,2020-01-12,5 , 1,58,21,21,"1,47","5,30","4,65",IF Troja/Ljungby, Halmstad,1,"1,47"
Huddinge - Skövde,7 - 4,2020-01-12,7 , 4,49,21,30,"1,47","5,40","4,50",Huddinge IK, Skövde,1,"1,47"
Mariestad - Grums,1 - 3,2020-01-12,1 , 3,77,13,10,"1,25","6,60","7,30",Mariestad BoIS HC, Grums,2,"7,30"
Kall./Rby - Nybro,3 - 3,2020-01-12,3 , 3,44,25,31,"2,20","4,55","2,44",Kall./Rby ,Nybro Vikings IF,X,"4,55"
Väsby - Bodens HF,4 - 0,2020-01-12,4 , 0,36,26,38,"2,25","4,40","2,40",Väsby , Bodens HF,1,"2,25"
Vallentun - Kiruna IF,4 - 0,2020-01-12,4 , 0,46,25,29,"1,78","4,80","3,15",Vallentun , Kiruna IF,1,"1,78"
Östersund - Lindlöven,2 - 4,2020-01-12,2 , 4,66,18,16,"1,28","6,50","6,50",Östersund , Lindlöven,2,"6,50"
Montreal - Calgary,2 - 0,2020-01-13,2 , 0,32,21,47,"2,55","4,15","2,38",Montreal , Calgary,1,"2,55"
NY Ranger - NY Island,6 - 2,2020-01-13,6 , 2,38,24,38,"2,55","4,15","2,39",NY Ranger , NY Island,1,"2,55"
St.Louis - Anaheim,4 - 1,2020-01-13,4 , 1,66,17,17,"1,66","4,65","4,25",St.Louis , Anaheim,1,"1,66"
Washingt. - Carolina,2 - 0,2020-01-13,2 , 0,50,23,27,"2,07","4,35","2,95",Washingt. , Carolina,1,"2,07"
Washington - Carolina,2 - 0,2020-01-13,2 , 0,34,43,23,,,,Washington , Carolina,1,
Philadel. - Boston,5 - 5,2020-01-13,5 , 5,31,22,47,"2,95","4,15","2,12",Philadel. , Boston,X,"4,15"
Philadelphia - Boston,0 - 1,2020-01-13,0 , 1,22,47,31,,,,Philadelphia , Boston,2,
Manitoba - Bellevil,3 - 5,2020-01-13,3 , 5,33,24,43,"2,44","4,25","2,24",Manitoba , Bellevil,2,"2,24"
Luleå - Frölunda,1 - 3,2020-01-14,1 , 3,49,23,28,"2,03","4,95","2,80",Luleå HF,Frölunda HC,2,"2,80"
HC Mountf - Djurgård.,3 - 0,2020-01-14,3 , 0,38,20,42,"2,31","4,50","2,42",HC Mountf ,Djurgårdens IF,1,"2,31"
Östersund - Borlänge,2 - 3,2020-01-14,2 , 3,48,22,30,"1,96","4,40","2,85",Östersund , Borlänge,2,"2,85"
Servette - Lugano,0 - 2,2020-01-14,0 , 2,63,19,18,"1,66","4,20","4,25",Servette , Lugano,2,"4,25"
ZSC Lions - SCL,6 - 1,2020-01-14,6 , 1,57,23,20,"1,93","4,20","3,10",ZSC Lions , SCL,1,"1,93"
Fehervar - EC KAC,3 - 2,2020-01-14,3 , 2,25,22,53,"3,65","4,95","1,61",Fehervar , EC KAC,1,"3,65"
Salzburg - EC Graz,2 - 3,2020-01-14,2 , 3,68,17,15,"1,51","4,55","4,65",Salzburg , EC Graz,2,"4,65"
Bolzano - EHC Linz,3 - 2,2020-01-14,3 , 2,43,26,31,"1,98","4,50","2,70",Bolzano , EHC Linz,1,"1,98"
Björklöv. - Södertäl.,5 - 3,2020-01-15,5 , 3,69,17,14,"1,32","5,90","7,45",IF Björklöven,Södertälje SK,1,"1,32"
BIK Karls - Västerås,4 - 4,2020-01-15,4 , 4,51,23,26,"1,80","4,45","3,60",BIK Karlskoga,Västerås IK,X,"4,45"
MODO - AIK,5 - 2,2020-01-15,5 , 2,85,8,7,"1,21","7,40","9,90",MODO Hockey,Skellefteå AIK,1,"1,21"
Almtuna - Tingsryd,2 - 2,2020-01-15,2 , 2,43,25,32,"2,03","3,85","3,22",Almtuna IS,Tingsryds AIF,X,"3,85"
Mora - Timrå,3 - 1,2020-01-15,3 , 1,28,23,49,"3,17","4,35","1,93",Mora IK,Timrå IK,1,"3,17"
Västervik - Karlskron,2 - 0,2020-01-15,2 , 0,37,23,40,"2,35","3,85","2,67",Västerviks IK,Karlskrona HK,1,"2,35"
Vita Häst - Kristian.,4 - 1,2020-01-15,4 , 1,65,19,16,"1,55","4,65","4,95",HC Vita Hästen,Kristianstads IK,1,"1,55"
Huddinge - Troja/Lju,1 - 1,2020-01-15,1 , 1,43,23,34,"2,04","4,55","2,70",Huddinge IK,IF Troja/Ljungby,X,"4,55"
Brynäs - Färjestad,3 - 3,2020-01-16,3 , 3,28,21,51,"2,80","4,35","2,19",Brynäs IF,Färjestad BK,X,"4,35"
Leksand - Örebro,0 - 1,2020-01-16,0 , 1,29,21,50,"2,87","4,20","2,18",Leksands IF,Örebro HK,2,"2,18"
Djurgård. - Linköping,3 - 2,2020-01-16,3 , 2,67,17,16,"1,63","4,55","4,70",Djurgårdens IF,Linköping HC,1,"1,63"
Växjö Lak - Skelleft.,1 - 2,2020-01-16,1 , 2,39,23,38,"2,32","4,05","2,72",Växjö Lakers HC,Skellefteå AIK,2,"2,72"
Oskarsh. - Frölunda,5 - 1,2020-01-16,5 , 1,14,14,72,"5,85","5,40","1,45",IK Oskarshamn,Frölunda HC,1,"5,85"
Rögle - Luleå,4 - 7,2020-01-16,4 , 7,38,25,37,"2,45","3,90","2,63",Rögle BK,Luleå HF,2,"2,63"
Bremerhav - München,4 - 6,2020-01-16,4 , 6,27,25,48,"3,02","4,15","1,97",Bremerhav , München,2,"1,97"
Narv Isho - Vålerenga,1 - 4,2020-01-16,1 , 4,23,20,57,"3,60","5,00","1,60",Narv Isho , Vålerenga,2,"1,60"
Björklöv. - Timrå,7 - 2,2020-01-17,7 , 2,59,20,21,"1,68","4,65","4,25",IF Björklöven,Timrå IK,1,"1,68"
Tingsryd - MODO,0 - 3,2020-01-17,0 , 3,17,17,66,"4,15","4,95","1,61",Tingsryds AIF,MODO Hockey,2,"1,61"
AIK - Södertäl.,1 - 3,2020-01-17,1 , 3,24,19,57,"2,95","4,30","2,04",AIK,Södertälje SK,2,"2,04"
Västervik - Mora,2 - 2,2020-01-17,2 , 2,34,21,45,"2,39","4,00","2,53",Västerviks IK,Mora IK,X,"4,00"
Kristian. - Almtuna,2 - 3,2020-01-17,2 , 3,42,25,33,"2,33","3,95","2,63",Kristianstads IK,Almtuna IS,2,"2,63"
Hudiksval - Östersund,5 - 3,2020-01-17,5 , 3,64,18,18,"1,66","5,00","3,50",Hudiksval , Östersund,1,"1,66"
Visby/Rom - Huddinge,6 - 4,2020-01-17,6 , 4,44,22,34,"2,45","4,45","2,23",Visby/Rom ,Huddinge IK,1,"2,45"
Tyre Hanv - Segeltorp,2 - 1,2020-01-17,2 , 1,49,21,30,"2,05","4,45","2,58",Tyre Hanv , Segeltorp,1,"2,05"
Djurgård. - Malmö,2 - 0,2020-01-18,2 , 0,58,21,21,"1,84","4,20","3,80",Djurgårdens IF,IF Malmö Redhawks,1,"1,84"
Luleå - HV71,6 - 3,2020-01-18,6 , 3,65,19,16,"1,82","4,10","4,00",Luleå HF,HV 71,1,"1,82"
Örebro - Rögle,2 - 5,2020-01-18,2 , 5,56,19,25,"2,12","4,10","3,05",Örebro HK,Rögle BK,2,"3,05"
Frölunda - Färjestad,3 - 2,2020-01-18,3 , 2,47,23,30,"1,98","4,50","3,12",Frölunda HC,Färjestad BK,1,"1,98"
Linköping - Växjö Lak,2 - 2,2020-01-18,2 , 2,29,23,48,"2,82","3,95","2,29",Linköping HC,Växjö Lakers HC,X,"3,95"
Skelleft. - Brynäs,1 - 2,2020-01-18,1 , 2,63,18,19,"1,79","4,35","3,90",Skellefteå AIK,Brynäs IF,2,"3,90"
Oskarsh. - Leksand,2 - 3,2020-01-18,2 , 3,47,22,31,"2,43","4,05","2,60",IK Oskarshamn,Leksands IF,2,"2,60"
Vita Häst - Västerås,3 - 4,2020-01-18,3 , 4,38,23,39,"2,28","4,05","2,67",HC Vita Hästen,Västerås IK,2,"2,67"
Piteå - Väsby,3 - 3,2020-01-19,3 , 3,36,23,41,"2,27","4,30","2,42",Piteå , Väsby,X,"4,30"
Kiruna IF - Borlänge,2 - 3,2020-01-19,2 , 3,14,14,72,"4,50","5,10","1,49",Kiruna IF , Borlänge,2,"1,49"
Teg - Vallentun,8 - 2,2020-01-19,8 , 2,39,23,38,"1,97","4,40","2,85",Skellefteå AIK, Vallentun,1,"1,97"
Nybro - Skövde,3 - 2,2020-01-19,3 , 2,66,17,17,"1,50","5,10","4,50",Nybro Vikings IF, Skövde,1,"1,50"
Halmstad - Mariestad,3 - 1,2020-01-19,3 , 1,33,23,44,"3,40","4,60","1,74",Halmstad ,Mariestad BoIS HC,1,"3,40"
Grums - Kall./Rby,4 - 1,2020-01-19,4 , 1,16,15,69,"3,95","4,95","1,59",Grums , Kall./Rby,1,"3,95"
Kalmar - Vimmerby,3 - 5,2020-01-19,3 , 5,41,24,35,"2,20","4,40","2,40",Kalmar , Vimmerby,2,"2,40"
Linden - Nyköping,4 - 1,2020-01-19,4 , 1,45,22,33,"2,14","4,50","2,45",Linden ,Nyköpings HK,1,"2,14"
Minnesota - Florida,4 - 5,2020-01-20,4 , 5,40,22,38,"2,47","4,20","2,45",Minnesota , Florida,2,"2,45"
Colorado - Detroit,6 - 3,2020-01-20,6 , 3,76,12,12,"1,38","5,80","6,40",Colorado , Detroit,1,"1,38"
Colorado - Detroit,2 - 1,2020-01-20,2 , 1,37,43,20,,,,Colorado , Detroit,1,
Iowa Wild - Texa Star,4 - 2,2020-01-20,4 , 2,42,22,36,"1,90","4,60","2,87",Iowa Wild , Texa Star,1,"1,90"
Syra Crun - Utica Com,4 - 2,2020-01-20,4 , 2,31,22,47,"2,32","4,20","2,37",Syra Crun , Utica Com,1,"2,32"
Rock Iceh - Bellevil,0 - 3,2020-01-20,0 , 3,27,22,51,"2,70","4,15","2,08",Rock Iceh , Bellevil,2,"2,08"
Stockton - Colo Eagl,5 - 0,2020-01-20,5 , 0,51,21,28,"2,25","4,25","2,43",Stockton , Colo Eagl,1,"2,25"
Ontario R - Bakersfie,3 - 0,2020-01-20,3 , 0,41,25,34,"2,26","4,15","2,45",Ontario R , Bakersfie,1,"2,26"
HV71 - Linköping,1 - 4,2020-01-21,1 , 4,60,19,21,"1,67","4,15","4,80",HV 71,Linköping HC,2,"4,80"
Rögle - Skelleft.,4 - 0,2020-01-21,4 , 0,44,23,33,"2,01","4,15","3,25",Rögle BK,Skellefteå AIK,1,"2,01"
Kiruna IF - Piteå,4 - 4,2020-01-21,4 , 4,23,21,56,"3,65","4,90","1,64",Kiruna IF , Piteå,X,"4,90"
EHC Biel - Ambri,3 - 1,2020-01-21,3 , 1,52,23,25,"1,71","4,25","3,85",EHC Biel , Ambri,1,"1,71"
Lugano - Rappersw.,2 - 1,2020-01-21,2 , 1,66,17,17,"1,61","4,55","4,20",Lugano , Rappersw.,1,"1,61"
Zug - SCL,2 - 1,2020-01-21,2 , 1,56,20,24,"1,63","4,40","4,20",Zug , SCL,1,"1,63"
Lilleham. - Spar Sarp,0 - 6,2020-01-21,0 , 6,58,21,21,"1,54","4,60","4,20",Lilleham. , Spar Sarp,2,"4,20"
Frederik - Aalborg,2 - 2,2020-01-21,2 , 2,24,22,54,"3,00","4,35","1,87",Frederik , Aalborg,X,"4,35"
MODO - BIK Karls,4 - 2,2020-01-22,4 , 2,53,21,26,"1,72","4,80","3,80",MODO Hockey,BIK Karlskoga,1,"1,72"
Timrå - Kristian.,2 - 1,2020-01-22,2 , 1,77,13,10,"1,38","5,50","6,30",Timrå IK,Kristianstads IK,1,"1,38"
Karlskron - AIK,1 - 2,2020-01-22,1 , 2,62,19,19,"1,55","4,70","4,85",Karlskrona HK,Skellefteå AIK,2,"4,85"
Västerås - Tingsryd,2 - 2,2020-01-22,2 , 2,61,21,18,"1,58","4,50","4,80",Västerås IK,Tingsryds AIF,X,"4,50"
Mora - Björklöv.,5 - 3,2020-01-22,5 , 3,23,21,56,"4,35","5,05","1,58",Mora IK,IF Björklöven,1,"4,35"
Södertäl. - Västervik,1 - 3,2020-01-22,1 , 3,58,21,21,"1,93","4,10","3,32",Södertälje SK,Västerviks IK,2,"3,32"
Almtuna - Vita Häst,0 - 5,2020-01-22,0 , 5,34,25,41,"2,68","4,10","2,25",Almtuna IS,HC Vita Hästen,2,"2,25"
Väsby - Hudiksval,2 - 1,2020-01-22,2 , 1,42,23,35,"1,65","5,30","3,40",Väsby , Hudiksval,1,"1,65"
Färjestad - Växjö Lak,3 - 3,2020-01-23,3 , 3,64,19,17,"1,76","4,45","3,95",Färjestad BK,Växjö Lakers HC,X,"4,45"
Linköping - Rögle,5 - 1,2020-01-23,5 , 1,30,20,50,"3,07","4,20","2,08",Linköping HC,Rögle BK,1,"3,07"
Frölunda - Brynäs,8 - 4,2020-01-23,8 , 4,60,18,22,"1,71","4,40","4,30",Frölunda HC,Brynäs IF,1,"1,71"
Leksand - Djurgård.,2 - 4,2020-01-23,2 , 4,27,19,54,"3,17","4,20","2,03",Leksands IF,Djurgårdens IF,2,"2,03"
Oskarsh. - Malmö,1 - 5,2020-01-23,1 , 5,34,20,46,"2,87","4,00","2,23",IK Oskarshamn,IF Malmö Redhawks,2,"2,23"
Örebro - Luleå,3 - 2,2020-01-23,3 , 2,30,21,49,"2,87","4,15","2,19",Örebro HK,Luleå HF,1,"2,87"
Servette - ZSC Lions,6 - 9,2020-01-23,6 , 9,46,24,30,"2,21","4,35","2,52",Servette , ZSC Lions,2,"2,52"
Kölner - Th.Sabo,2 - 3,2020-01-23,2 , 3,39,23,38,"2,04","4,10","2,90",Kölner , Th.Sabo,2,"2,90"
AIK - Västerås,3 - 3,2020-01-24,3 , 3,27,20,53,"3,55","4,45","1,80",AIK,Västerås IK,X,"4,45"
BIK Karls - Almtuna,5 - 5,2020-01-24,5 , 5,77,12,11,"1,42","5,05","6,25",BIK Karlskoga,Almtuna IS,X,"5,05"
Mora - Södertäl.,3 - 4,2020-01-24,3 , 4,54,21,25,"1,92","4,25","3,30",Mora IK,Södertälje SK,2,"3,30"
Tingsryd - Kristian.,5 - 7,2020-01-24,5 , 7,59,21,20,"1,76","4,30","3,85",Tingsryds AIF,Kristianstads IK,2,"3,85"
Fribourg - Ambri,2 - 2,2020-01-24,2 , 2,48,23,29,"1,96","4,10","3,07",Fribourg , Ambri,X,"4,10"
SCL - Lausanne,0 - 4,2020-01-24,0 , 4,41,25,34,"2,29","3,85","2,62",SCL , Lausanne,2,"2,62"
Rappersw. - EHC Biel,4 - 6,2020-01-24,4 , 6,32,24,44,"2,57","4,00","2,26",Rappersw. , EHC Biel,2,"2,26"
Zug - Lugano,1 - 2,2020-01-24,1 , 2,59,22,19,"1,67","4,75","3,70",Zug , Lugano,2,"3,70"
Frölunda - Malmö,4 - 3,2020-01-25,4 , 3,70,16,14,"1,64","4,50","4,70",Frölunda HC,IF Malmö Redhawks,1,"1,64"
Linköping - Färjestad,1 - 0,2020-01-25,1 , 0,33,24,43,"2,95","4,35","2,10",Linköping HC,Färjestad BK,1,"2,95"
Rögle - HV71,1 - 4,2020-01-25,1 , 4,52,22,26,"1,81","4,25","3,90",Rögle BK,HV 71,2,"3,90"
Djurgård. - Örebro,4 - 1,2020-01-25,4 , 1,45,25,30,"2,00","4,10","3,30",Djurgårdens IF,Örebro HK,1,"2,00"
Skelleft. - Oskarsh.,3 - 5,2020-01-25,3 , 5,73,16,11,"1,43","5,45","6,10",Skellefteå AIK,IK Oskarshamn,2,"6,10"
Brynäs - Luleå,1 - 3,2020-01-25,1 , 3,32,25,43,"3,05","4,10","2,11",Brynäs IF,Luleå HF,2,"2,11"
Växjö Lak - Leksand,5 - 1,2020-01-25,5 , 1,63,19,18,"1,60","4,60","4,90",Växjö Lakers HC,Leksands IF,1,"1,60"
Västervik - MODO,2 - 2,2020-01-25,2 , 2,20,20,60,"4,40","4,80","1,60",Västerviks IK,MODO Hockey,X,"4,80"
Visby/Rom - Kall./Rby,4 - 5,2020-01-26,4 , 5,40,24,36,"2,09","4,40","2,62",Visby/Rom , Kall./Rby,2,"2,62"
Lindlöven - Piteå,5 - 4,2020-01-26,5 , 4,42,23,35,"1,83","4,70","3,05",Lindlöven , Piteå,1,"1,83"
Östersund - Kiruna IF,3 - 0,2020-01-26,3 , 0,71,16,13,"1,25","6,35","7,50",Östersund , Kiruna IF,1,"1,25"
Hudiksval - Bodens HF,1 - 4,2020-01-26,1 , 4,59,21,20,"1,62","4,95","3,75",Hudiksval , Bodens HF,2,"3,75"
Borlänge - Teg,5 - 1,2020-01-26,5 , 1,78,12,10,"1,28","6,45","6,55",Borlänge , Teg,1,"1,28"
Vallentun - Väsby,3 - 7,2020-01-26,3 , 7,25,21,54,"4,10","5,10","1,54",Vallentun , Väsby,2,"1,54"
Köping - Nyköping,1 - 2,2020-01-26,1 , 2,31,24,45,"2,82","4,40","1,94",Linköping HC,Nyköpings HK,2,"1,94"
Forshaga - Linden,2 - 4,2020-01-26,2 , 4,49,23,28,"1,82","4,45","3,07",Forshaga , Linden,2,"3,07"
AIK Dam - Djurgå. D,1 - 3,2020-01-27,1 , 3,29,22,49,"2,97","4,80","1,78",AIK, Djurgå. D,2,"1,78"
Sp Moskva - Star Kunl,7 - 4,2020-01-27,7 , 4,67,16,17,"1,84","4,25","3,55",Sp Moskva , Star Kunl,1,"1,84"
HC Sotji - Jaroslavl,2 - 4,2020-01-27,2 , 4,23,20,57,"3,47","4,00","1,91",HC Sotji , Jaroslavl,2,"1,91"
Montreal - Washingt.,2 - 4,2020-01-27,2 , 4,32,22,46,"2,72","4,15","2,25",Montreal , Washingt.,2,"2,25"
Nashville - Toronto,2 - 5,2020-01-27,2 , 5,46,22,32,"2,37","4,15","2,57",Nashville , Toronto,2,"2,57"
Dallas - Tampa Bay,2 - 2,2020-01-27,2 , 2,31,26,43,"2,90","4,05","2,18",IF Sundsvall Hockey, Tampa Bay,X,"4,05"
Vancouver - St.Louis,3 - 1,2020-01-27,3 , 1,42,24,34,"2,65","4,15","2,32",Vancouver , St.Louis,1,"2,65"
San Jose - Anaheim,4 - 2,2020-01-27,4 , 2,45,24,31,"2,17","4,00","2,95",San Jose , Anaheim,1,"2,17"
HV71 - Färjestad,8 - 4,2020-01-28,8 , 4,42,23,35,"1,90","4,70","3,25",HV 71,Färjestad BK,1,"1,90"
Malmö - Brynäs,5 - 0,2020-01-28,5 , 0,44,23,33,"2,01","4,25","3,20",IF Malmö Redhawks,Brynäs IF,1,"2,01"
Teg - Kiruna IF,4 - 4,2020-01-28,4 , 4,54,21,25,"1,57","5,10","3,90",Skellefteå AIK, Kiruna IF,X,"5,10"
Lausanne - Rappersw.,1 - 1,2020-01-28,1 , 1,69,16,15,"1,64","4,20","4,35",Lausanne , Rappersw.,X,"4,20"
Kölner - Th.Sabo,3 - 5,2020-01-28,3 , 5,35,21,44,"1,97","4,35","2,92",Kölner , Th.Sabo,2,"2,92"
Stavanger - Vålerenga,4 - 2,2020-01-28,4 , 2,68,18,14,"1,30","5,55","6,45",Stavanger , Vålerenga,1,"1,30"
Rungsted - Esbjerg,5 - 2,2020-01-28,5 , 2,37,24,39,"1,96","4,65","2,68",Rungsted , Esbjerg,1,"1,96"
Sönderjys - Fredriks,2 - 2,2020-01-28,2 , 2,55,20,25,"2,27","4,30","2,35",Sönderjys , Fredriks,X,"4,30"
Södertäl. - Timrå,2 - 2,2020-01-29,2 , 2,38,21,41,"2,88","4,20","2,10",Södertälje SK,Timrå IK,X,"4,20"
Vita Häst - Tingsryd,2 - 2,2020-01-29,2 , 2,65,17,18,"1,75","4,20","3,95",HC Vita Hästen,Tingsryds AIF,X,"4,20"
Kristian. - BIK Karls,4 - 3,2020-01-29,4 , 3,18,17,65,"3,70","4,80","1,72",Kristianstads IK,BIK Karlskoga,1,"3,70"
MODO - Björklöv.,4 - 2,2020-01-29,4 , 2,41,26,33,"2,43","4,15","2,53",MODO Hockey,IF Björklöven,1,"2,43"
Västerås - Västervik,7 - 2,2020-01-29,7 , 2,56,18,26,"1,62","4,50","4,50",Västerås IK,Västerviks IK,1,"1,62"
AIK - Almtuna,1 - 6,2020-01-29,1 , 6,36,22,42,"2,55","4,15","2,33",AIK,Almtuna IS,2,"2,33"
Karlskron - Mora,2 - 2,2020-01-29,2 , 2,37,21,42,"2,39","4,20","2,46",Karlskrona HK,Mora IK,X,"4,20"
Mariestad - Huddinge,4 - 1,2020-01-29,4 , 1,47,22,31,"2,13","4,40","2,57",Mariestad BoIS HC,Huddinge IK,1,"2,13"
Djurgård. - Frölunda,2 - 1,2020-01-30,2 , 1,42,24,34,"2,21","4,30","2,80",Djurgårdens IF,Frölunda HC,1,"2,21"
Luleå - Växjö Lak,5 - 1,2020-01-30,5 , 1,62,20,18,"1,67","4,40","4,55",Luleå HF,Växjö Lakers HC,1,"1,67"
Färjestad - Leksand,4 - 3,2020-01-30,4 , 3,72,14,14,"1,46","5,35","5,70",Färjestad BK,Leksands IF,1,"1,46"
Malmö - Skelleft.,4 - 1,2020-01-30,4 , 1,42,22,36,"2,22","4,20","2,78",IF Malmö Redhawks,Skellefteå AIK,1,"2,22"
Oskarsh. - HV71,1 - 3,2020-01-30,1 , 3,22,17,61,"3,45","4,45","1,88",IK Oskarshamn,HV 71,2,"1,88"
Örebro - Brynäs,3 - 6,2020-01-30,3 , 6,63,17,20,"1,75","4,50","4,00",Örebro HK,Brynäs IF,2,"4,00"
Davos - Zug,2 - 4,2020-01-30,2 , 4,38,25,37,"2,32","4,35","2,38",Davos , Zug,2,"2,38"
Rappersw. - Ambri,2 - 2,2020-01-30,2 , 2,34,24,42,"2,30","3,90","2,57",Rappersw. , Ambri,X,"3,90"
Björklöv. - Västerås,1 - 0,2020-01-31,1 , 0,67,16,17,"1,51","4,70","5,30",IF Björklöven,Västerås IK,1,"1,51"
