Match,Resultat,date,score_home,score_away,played_1,played_X,played_2,odds_1,odds_X,odds_2,home,away,outcome,odds_outcome
Mora - Kristian.,7 - 4,2019-12-21,7 , 4,55,22,23,"1,89","3,90","3,60",Mora IK,Kristianstads IK,1,"1,89"
Västervik - Tingsryd,1 - 1,2019-12-21,1 , 1,34,23,43,"2,42","3,95","2,53",Västerviks IK,Tingsryds AIF,X,"3,95"
NY Island - Anaheim,5 - 5,2019-12-21,5 , 5,65,17,18,"1,86","4,15","3,65",NY Island , Anaheim,X,"4,15"
Buffalo - Los Angel,3 - 2,2019-12-21,3 , 2,51,24,25,"2,00","4,20","3,18",Buffalo , Los Angel,1,"2,00"
Minnesota - Winnipeg,0 - 6,2019-12-21,0 , 6,42,25,33,"2,19","4,20","2,80",Minnesota , Winnipeg,2,"2,80"
Toronto - Detroit,4 - 1,2019-12-21,4 , 1,74,14,12,"1,52","5,30","4,85",Toronto , Detroit,1,"1,52"
Washingt. - Tampa Bay,3 - 1,2019-12-21,3 , 1,46,25,29,"2,45","4,25","2,45",Washingt. , Tampa Bay,1,"2,45"
NY Ranger - Anaheim,5 - 1,2019-12-22,5 , 1,53,22,25,"1,93","4,35","3,30",NY Ranger , Anaheim,1,"1,93"
Dallas - Calgary,1 - 5,2019-12-22,1 , 5,50,24,26,"2,07","4,05","3,12",IF Sundsvall Hockey, Calgary,2,"3,12"
Detroit - Arizona,2 - 5,2019-12-22,2 , 5,27,20,53,"3,95","4,50","1,74",Detroit , Arizona,2,"1,74"
San Jose - Vegas,1 - 3,2019-12-22,1 , 3,34,24,42,"2,85","4,35","2,13",San Jose , Vegas,2,"2,13"
Eisbären - Th.Sabo,2 - 0,2019-12-22,2 , 0,56,20,24,"1,86","5,00","2,92",Eisbären , Th.Sabo,1,"1,86"
Vienna - Salzburg,2 - 3,2019-12-22,2 , 3,41,25,34,"1,90","4,30","2,95",Vienna , Salzburg,2,"2,95"
HC Innsbr - EC Graz,2 - 3,2019-12-22,2 , 3,31,22,47,"3,10","4,80","1,76",HC Innsbr , EC Graz,2,"1,76"
EHC Linz - Villacher,5 - 7,2019-12-22,5 , 7,63,18,19,"1,63","4,90","3,60",EHC Linz , Villacher,2,"3,60"
Toronto - Carolina,8 - 6,2019-12-23,8 , 6,49,20,31,"2,23","4,30","2,70",Toronto , Carolina,1,"2,23"
Minnesota - Calgary,3 - 0,2019-12-23,3 , 0,41,23,36,"2,29","4,00","2,73",Minnesota , Calgary,1,"2,29"
Ambri - Davos,4 - 4,2019-12-23,4 , 4,47,21,32,"2,13","4,15","2,72",Ambri , Davos,X,"4,15"
SCL - Servette,1 - 1,2019-12-23,1 , 1,30,22,48,"2,35","3,80","2,55",SCL , Servette,X,"3,80"
Rappersw. - Fribourg,2 - 2,2019-12-23,2 , 2,44,22,34,"2,55","3,95","2,29",Rappersw. , Fribourg,X,"3,95"
Zug - Bern,1 - 0,2019-12-23,1 , 0,59,19,22,"1,85","4,00","3,43",Zug , Bern,1,"1,85"
Lugano - Lausanne,0 - 2,2019-12-23,0 , 2,43,21,36,"2,00","4,70","2,72",Lugano , Lausanne,2,"2,72"
EHC Biel - ZSC Lions,4 - 4,2019-12-23,4 , 4,34,23,43,"2,67","4,00","2,20",EHC Biel , ZSC Lions,X,"4,00"
CSKA Mosk - Magnitogo,3 - 2,2019-12-24,3 , 2,74,14,12,"1,42","5,00","6,80",CSKA Mosk , Magnitogo,1,"1,42"
Neftekams - Zvezda,1 - 2,2019-12-24,1 , 2,35,25,40,"3,65","4,15","1,72",Neftekams , Zvezda,2,"1,72"
Izhevsk - Humo Tash,1 - 2,2019-12-24,1 , 2,41,25,34,"2,67","3,65","2,22",Izhevsk , Humo Tash,2,"2,22"
Almetjevs - Khimik,2 - 3,2019-12-24,2 , 3,63,21,16,"1,43","4,50","5,75",Almetjevs , Khimik,2,"5,75"
HC Amur - T Novgoro,2 - 0,2019-12-24,2 , 0,32,27,41,"2,60","3,95","2,36",HC Amur , T Novgoro,1,"2,60"
Vladivost - Jekaterin,1 - 1,2019-12-24,1 , 1,25,26,49,"3,27","4,05","1,96",Vladivost , Jekaterin,X,"4,05"
Star Kunl - Din Minsk,2 - 1,2019-12-24,2 , 1,59,20,21,"1,63","4,70","4,20",Star Kunl , Din Minsk,1,"1,63"
