time,event,team,players,on_ice,game_id,home,away
35:08,1-1 (EQ),Djurgårdens IF,"71.  Davidsson,  Jonathan  (1)  91.  Jonsson-Fjällby,  Axel44.  Vejdemo,  Lukas","Pos. Part.: 4  , 30  , 44  , 55  , 71  , 91  Neg. Part.: 9  , 19  , 20  , 26  , 30  , 73",347209,HV 71,Djurgårdens IF
25:15,2 min,HV 71,"29.  Ullström,  David",Highsticking  (27:15 - 29:15),347209,HV 71,Djurgårdens IF
25:15,2 min,HV 71,"29.  Ullström,  David",Highsticking  (25:15 - 27:15),347209,HV 71,Djurgårdens IF
16:10,2 min,Djurgårdens IF,"10.  Bergfors,  Niclas",Puck out of bounds or unplayable  (16:10 - 18:10),347209,HV 71,Djurgårdens IF
08:09,1-0 (PP1),HV 71,"73.  Wännström,  Sebastian  (1)  9.  Ejdsell,  Victor20.  Pilut,  Lawrence","Pos. Part.: 9  , 10  , 20  , 29  , 30  , 73  Neg. Part.: 4  , 17  , 30  , 43  , 61",347209,HV 71,Djurgårdens IF
07:35,2 min,Djurgårdens IF,"55.  Urbom,  Alexander",Hooking  (07:35 - 08:09),347209,HV 71,Djurgårdens IF
00:00,GK In,Djurgårdens IF,"30.  Eriksson,  Joacim",,347209,HV 71,Djurgårdens IF
00:00,GK In,HV 71,"30.  Söderström,  Linus",,347209,HV 71,Djurgårdens IF
60:00,GK Out,Timrå IK,"89.  Svedberg,  Niklas",,393304,Linköping HC,Timrå IK
60:00,GK Out,Linköping HC,"50.  Gustavsson,  Jonas",,393304,Linköping HC,Timrå IK
57:42,GK In,Timrå IK,"89.  Svedberg,  Niklas",,393304,Linköping HC,Timrå IK
57:42,4-1 (EQ)ENG,Linköping HC,"20.  Sörensen,  Nick  (2)  22.  Brodecki,  Adam36.  Karlsson,  Filip","Pos. Part.: 4  , 20  , 22  , 36  , 50  , 53  Neg. Part.: 7  , 23  , 44  , 49  , 55  , 79",393304,Linköping HC,Timrå IK
57:24,GK Out,Timrå IK,"89.  Svedberg,  Niklas",,393304,Linköping HC,Timrå IK
57:24,TO,Timrå IK,Timeout,,393304,Linköping HC,Timrå IK
37:38,2 min,Linköping HC,"37.  Ginning,  Adam",Tripping  (37:38 - 39:38),393304,Linköping HC,Timrå IK
27:24,3-1 (EQ),Linköping HC,"38.  Södergran,  Johan  (1)  22.  Brodecki,  Adam31.  Lycksell,  Olle","Pos. Part.: 22  , 31  , 32  , 38  , 47  , 50  Neg. Part.: 9  , 24  , 27  , 38  , 44  , 89",393304,Linköping HC,Timrå IK
24:05,2 min,Timrå IK,"49.  Collberg,  Sebastian",Hooking  (24:05 - 26:05),393304,Linköping HC,Timrå IK
15:21,2-1 (EQ),Linköping HC,"20.  Sörensen,  Nick  (1)  36.  Karlsson,  Filip","Pos. Part.: 20  , 32  , 36  , 47  , 50  , 84  Neg. Part.: 22  , 23  , 24  , 27  , 57  , 89",393304,Linköping HC,Timrå IK
11:20,1-1 (EQ),Linköping HC,"22.  Brodecki,  Adam  (1)  38.  Södergran,  Johan31.  Lycksell,  Olle","Pos. Part.: 3  , 22  , 31  , 38  , 50  , 53  Neg. Part.: 7  , 9  , 28  , 38  , 44  , 89",393304,Linköping HC,Timrå IK
08:50,2 min,Timrå IK,"41.  Falk,  Alexander",Crosschecking  (08:50 - 10:50),393304,Linköping HC,Timrå IK
06:47,0-1 (EQ),Timrå IK,"49.  Collberg,  Sebastian  (1)  55.  Gallo,  Vilmos","Pos. Part.: 7  , 24  , 49  , 55  , 79  , 89  Neg. Part.: 3  , 22  , 31  , 32  , 38  , 50",393304,Linköping HC,Timrå IK
03:22,2 min,Linköping HC,"41.  Little,  Broc",Tripping  (03:22 - 05:22),393304,Linköping HC,Timrå IK
00:00,GK In,Timrå IK,"89.  Svedberg,  Niklas",,393304,Linköping HC,Timrå IK
00:00,GK In,Linköping HC,"50.  Gustavsson,  Jonas",,393304,Linköping HC,Timrå IK
60:00,GK Out,Frölunda HC,"41.  Rubin,  Niklas",,441805,Frölunda HC,Brynäs IF
60:00,GK Out,Brynäs IF,"30.  Eriksson,  Joacim",,441805,Frölunda HC,Brynäs IF
56:11,2-5 (PP1),Frölunda HC,"59.  Hjalmarsson,  Simon  (1)  20.  Lundqvist,  Joel3.  Moverare,  Jacob","Pos. Part.: 3  , 20  , 41  , 49  , 59  , 81  Neg. Part.: 4  , 5  , 30  , 44  , 72",441805,Frölunda HC,Brynäs IF
55:58,2 min,Brynäs IF,"56.  Sigalet,  Jonathan",Hooking  (55:58 - 56:11),441805,Frölunda HC,Brynäs IF
46:34,1-5 (EQ),Frölunda HC,"15.  Grönlund,  Anders  (1)  40.  Mustonen,  Joel63.  Bergman,  Julius","Pos. Part.: 12  , 15  , 20  , 40  , 41  , 63  Neg. Part.: 5  , 18  , 30  , 41  , 66  , 88",441805,Frölunda HC,Brynäs IF
38:02,0-5 (EQ),Brynäs IF,"22.  Brodecki,  Adam  (1)  51.  Sallinen,  Tomi","Pos. Part.: 11  , 22  , 28  , 30  , 51  , 56  Neg. Part.: 12  , 15  , 20  , 40  , 41  , 63",441805,Frölunda HC,Brynäs IF
28:46,2 min,Brynäs IF,"79.  Mannberg,  Daniel",Holding  (28:46 - 30:46),441805,Frölunda HC,Brynäs IF
28:46,2 min,Frölunda HC,"49.  Rakhshani,  Rhett",Holding  (28:46 - 30:46),441805,Frölunda HC,Brynäs IF
26:49,GK In,Frölunda HC,"41.  Rubin,  Niklas",,441805,Frölunda HC,Brynäs IF
26:49,0-4 (EQ),Brynäs IF,"18.  Rödin,  Anton  (1)  41.  Scott,  Greg","Pos. Part.: 11  , 18  , 30  , 41  , 51  , 56  Neg. Part.: 7  , 8  , 17  , 33  , 44  , 51",441805,Frölunda HC,Brynäs IF
26:49,GK Out,Frölunda HC,"33.  Mattsson,  Johan",,441805,Frölunda HC,Brynäs IF
24:22,2 min,Brynäs IF,"41.  Scott,  Greg",Holding  (24:22 - 26:22),441805,Frölunda HC,Brynäs IF
21:57,0-3 (EQ),Brynäs IF,"44.  Blomqvist,  Jacob  (1)  79.  Mannberg,  Daniel72.  Rohdin,  Joachim","Pos. Part.: 5  , 30  , 44  , 47  , 72  , 79  Neg. Part.: 15  , 33  , 59  , 63  , 72  , 81",441805,Frölunda HC,Brynäs IF
17:03,2 min,Brynäs IF,"66.  Lindelöf,  Alexander",Roughing  (17:03 - 19:03),441805,Frölunda HC,Brynäs IF
17:03,2 min,Frölunda HC,"31.  Lasu,  Nicklas",Roughing  (17:03 - 19:03),441805,Frölunda HC,Brynäs IF
15:56,0-2 (EQ),Brynäs IF,"79.  Mannberg,  Daniel  (1)","Pos. Part.: 11  , 30  , 44  , 56  , 72  , 79  Neg. Part.: 15  , 28  , 33  , 49  , 51  , 55",441805,Frölunda HC,Brynäs IF
08:48,0-1 (PP1),Brynäs IF,"74.  Danielsson,  Nicklas  (1)  18.  Rödin,  Anton56.  Sigalet,  Jonathan","Pos. Part.: 18  , 30  , 41  , 56  , 74  , 88  Neg. Part.: 3  , 8  , 12  , 33  , 51",441805,Frölunda HC,Brynäs IF
08:08,2 min,Frölunda HC,"55.  Printz,  David",Tripping  (08:08 - 08:48),441805,Frölunda HC,Brynäs IF
04:17,2 min,Brynäs IF,"18.  Rödin,  Anton",Slashing  (04:17 - 06:17),441805,Frölunda HC,Brynäs IF
00:00,GK In,Brynäs IF,"30.  Eriksson,  Joacim",,441805,Frölunda HC,Brynäs IF
00:00,GK In,Frölunda HC,"33.  Mattsson,  Johan",,441805,Frölunda HC,Brynäs IF
64:39,GK Out,Leksands IF,"30.  Juvonen,  Janne",,490388,Leksands IF,Skellefteå AIK
64:39,GK Out,Skellefteå AIK,"30.  Lindvall,  Gustaf",,490388,Leksands IF,Skellefteå AIK
64:39,4-5 (EQ),Skellefteå AIK,"24.  Wingerli,  Andreas  (1)","Pos. Part.: 5  , 24  , 30  , 86  Neg. Part.: 9  , 16  , 21  , 30",490388,Leksands IF,Skellefteå AIK
59:51,GK In,Leksands IF,"30.  Juvonen,  Janne",,490388,Leksands IF,Skellefteå AIK
59:51,4-4 (EQ),Leksands IF,"34.  Cehlarik,  Peter  (2)  27.  Hrivik,  Marek8.  Caito,  Matt","Pos. Part.: 8  , 16  , 21  , 25  , 27  , 34  Neg. Part.: 3  , 24  , 30  , 45  , 58  , 96",490388,Leksands IF,Skellefteå AIK
57:26,GK Out,Leksands IF,"30.  Juvonen,  Janne",,490388,Leksands IF,Skellefteå AIK
56:45,3-4 (EQ),Leksands IF,"7.  Nordsäter,  Lucas  (1)  9.  Zackrisson,  Patrik5.  Själin,  Calle","Pos. Part.: 5  , 7  , 9  , 17  , 29  , 30  Neg. Part.: 3  , 19  , 30  , 38  , 52  , 86",490388,Leksands IF,Skellefteå AIK
54:21,2-4 (EQ),Leksands IF,"34.  Cehlarik,  Peter  (1)  27.  Hrivik,  Marek","Pos. Part.: 3  , 9  , 26  , 27  , 30  , 34  Neg. Part.: 10  , 19  , 22  , 30  , 45  , 86",490388,Leksands IF,Skellefteå AIK
52:20,2 min,Leksands IF,"9.  Zackrisson,  Patrik",Tripping  (52:20 - 54:20),490388,Leksands IF,Skellefteå AIK
44:12,2 min,Skellefteå AIK,"23.  Andersson,  Jacob",Slashing  (44:12 - 46:12),490388,Leksands IF,Skellefteå AIK
43:20,TO,Skellefteå AIK,Timeout,,490388,Leksands IF,Skellefteå AIK
40:00,GK In,Leksands IF,"30.  Juvonen,  Janne",,490388,Leksands IF,Skellefteå AIK
40:00,GK Out,Leksands IF,"33.  Brage,  Axel",,490388,Leksands IF,Skellefteå AIK
35:57,1-4 (PP1),Skellefteå AIK,"5.  Broberg,  Philip  (1)  45.  Möller,  Oscar24.  Wingerli,  Andreas","Pos. Part.: 3  , 5  , 10  , 24  , 30  , 45  Neg. Part.: 3  , 14  , 15  , 28  , 33",490388,Leksands IF,Skellefteå AIK
34:27,2 min,Leksands IF,"66.  Åman,  Nils",Hooking  (34:27 - 35:57),490388,Leksands IF,Skellefteå AIK
32:38,2 min,Skellefteå AIK,"23.  Andersson,  Jacob",Hooking  (32:38 - 34:38),490388,Leksands IF,Skellefteå AIK
31:20,1-3 (EQ),Skellefteå AIK,"3.  Burström,  Niclas  (1)  48.  Berggren,  Jonatan5.  Broberg,  Philip","Pos. Part.: 3  , 5  , 24  , 28  , 30  , 48  Neg. Part.: 5  , 7  , 9  , 17  , 27  , 33",490388,Leksands IF,Skellefteå AIK
29:16,2 min,Leksands IF,"27.  Hrivik,  Marek",Slashing  (29:16 - 31:16),490388,Leksands IF,Skellefteå AIK
20:52,2 min,Skellefteå AIK,"2.  Wilsby,  Adam",Slashing  (20:52 - 22:52),490388,Leksands IF,Skellefteå AIK
18:26,1-2 (EQ),Leksands IF,"16.  Gunnarsson,  Daniel  (1)  25.  Camper,  Carter34.  Cehlarik,  Peter","Pos. Part.: 16  , 25  , 26  , 27  , 33  , 34  Neg. Part.: 2  , 10  , 16  , 30  , 45  , 58",490388,Leksands IF,Skellefteå AIK
14:21,0-2 (PP1),Skellefteå AIK,"28.  Frödén,  Jesper  (1)  3.  Burström,  Niclas5.  Broberg,  Philip","Pos. Part.: 3  , 5  , 24  , 28  , 30  , 48  Neg. Part.: 11  , 13  , 16  , 26  , 33",490388,Leksands IF,Skellefteå AIK
14:01,2 min,Leksands IF,"14.  Lang,  Oskar",Hooking  (14:01 - 14:21),490388,Leksands IF,Skellefteå AIK
09:48,2 min,Skellefteå AIK,"2.  Wilsby,  Adam",Tripping  (09:48 - 11:48),490388,Leksands IF,Skellefteå AIK
04:07,0-1 (PP1),Skellefteå AIK,"48.  Berggren,  Jonatan  (1)  3.  Burström,  Niclas24.  Wingerli,  Andreas","Pos. Part.: 3  , 5  , 24  , 28  , 30  , 48  Neg. Part.: 13  , 16  , 26  , 33  , 66",490388,Leksands IF,Skellefteå AIK
02:46,2 min,Leksands IF,"8.  Caito,  Matt",Hooking  (02:46 - 04:07),490388,Leksands IF,Skellefteå AIK
00:00,GK In,Skellefteå AIK,"30.  Lindvall,  Gustaf",,490388,Leksands IF,Skellefteå AIK
00:00,GK In,Leksands IF,"33.  Brage,  Axel",,490388,Leksands IF,Skellefteå AIK
