playername,season,team,predicted_2020
Niklas Olausson ,2020-21,Luleå HF,0.5444795820710732
Rasmus Rissanen ,2020-21,Örebro HK,0.2254975565947458
Marek Hrivík ,2020-21,Leksands IF,0.5210787412370412
Mats Rosseli Olsen ,2020-21,Frölunda HC,0.33013316115891866
Jesper Williamsson ,2020-21,HV71,0.24026299065193119
Karl Fabricius ,2020-21,Luleå HF,0.26582877089084683
Pontus Näsén ,2020-21,IK Oskarshamn,0.16026946520759888
Andreas Wingerli ,2020-21,Skellefteå AIK,0.4624939558611827
Marcus Björk ,2020-21,Brynäs IF,0.25115891951506475
Christopher Mastomäki ,2020-21,Örebro HK,0.3622054250636011
Max Lindroth ,2020-21,Linköping HC,0.18884473577028424
Fredrik Olofsson ,2020-21,IK Oskarshamn,0.35772579090213824
Patrik Zackrisson ,2020-21,Leksands IF,0.37183633783939984
Tom Wandell ,2020-21,Djurgårdens IF,0.38545526911427186
Niclas Bergfors ,2020-21,Djurgårdens IF,0.394255832804548
Martin Johansson ,2020-21,Färjestad BK,0.31650272731091933
Mattias Ritola ,2020-21,Leksands IF,0.3494814535679216
Alexander Bergström ,2020-21,HV71,0.628516452471482
Emil Wahlberg ,2020-21,IK Oskarshamn,0.27314136648340154
Oliver Joakim Larsen ,2020-21,IK Oskarshamn,0.22284240507887884
Samuel Asklöf ,2020-21,Brynäs IF,0.2722227990962897
Simon Ryfors ,2020-21,Rögle BK,0.410020765947996
John Dahlström ,2020-21,IK Oskarshamn,0.2311754816908052
Max Lindholm ,2020-21,Örebro HK,0.3434328640071711
Kalle Östman ,2020-21,Djurgårdens IF,0.1862946994807567
Eric Martinsson ,2020-21,HV71,0.6404632798989962
Jonathan Johnson ,2020-21,Skellefteå AIK,0.42568557820226827
Fredrik Karlström ,2020-21,Växjö Lakers HC,0.45500128545639124
Jon Knuts ,2020-21,Leksands IF,0.23273728653215142
Emil Molin ,2020-21,Brynäs IF,0.5964622865249297
Johannes Kinnvall ,2020-21,HV71,0.6701388708297104
Joakim Lindström ,2020-21,Skellefteå AIK,0.5803430512568123
Samuel Jonsson ,2020-21,Rögle BK,0.2132649803274015
Isac Brännström ,2020-21,Luleå HF,0.39879137789022656
August Berg ,2020-21,Leksands IF,0.17288033974445396
Linus Nässén ,2020-21,Växjö Lakers HC,0.12981822646259908
Marcus Davidsson ,2020-21,Växjö Lakers HC,0.4817154841280828
Hardy Häman Aktell ,2020-21,Växjö Lakers HC,0.281016869952415
Linus Lindström ,2020-21,Skellefteå AIK,0.4310513926454645
Oliver Eklind ,2020-21,Örebro HK,0.35436272071410174
Max Wennlund ,2020-21,HV71,0.22258693480622924
Lucas Nordsäter ,2020-21,Leksands IF,0.2185304210081377
Linus Fröberg ,2020-21,HV71,0.6214521478107478
Nikola Pasic ,2020-21,Linköping HC,0.3598054119430189
Johan Olofsson ,2020-21,Malmö Redhawks,0.2550518153866409
Tom Hedberg ,2020-21,Brynäs IF,0.323591630329808
Olle Lycksell ,2020-21,Färjestad BK,0.4260520501455039
Albin Eriksson ,2020-21,Färjestad BK,0.21060393264162844
Malte Setkov ,2020-21,Malmö Redhawks,0.1384620964688117
Pontus Holmberg ,2020-21,Växjö Lakers HC,0.46090641942788574
Calle Själin ,2020-21,Leksands IF,0.14196722565170755
Rickard Hugg ,2020-21,Skellefteå AIK,0.39608221869394933
Emil Pettersson ,2020-21,Växjö Lakers HC,0.4803769135040735
Glenn Gustafsson ,2020-21,Örebro HK,0.23267489540442246
Jonatan Berggren ,2020-21,Skellefteå AIK,0.47613444991247034
Lukas Pilö ,2020-21,Örebro HK,0.21394399075820425
Adam Ginning ,2020-21,Färjestad BK,0.1945607960034849
Victor Berglund ,2020-21,Luleå HF,0.2635254270865665
Samuel Solem ,2020-21,Brynäs IF,0.2629068768549209
Marcus Sylvegård ,2020-21,Växjö Lakers HC,0.2807783138428313
Simon Johansson ,2020-21,Djurgårdens IF,0.20808860235230228
Jesper Pettersson ,2020-21,Djurgårdens IF,0.2622077479881763
Mikael Frycklund ,2020-21,Linköping HC,0.2367425234552144
Linus Andersson ,2020-21,Djurgårdens IF,0.4340789577235998
Filip Hållander ,2020-21,Luleå HF,0.643544844055714
Victor Ejdsell ,2020-21,Färjestad BK,0.5204307692612504
Oskar Bäck ,2020-21,Färjestad BK,0.21891115589633084
Adam Wilsby ,2020-21,Skellefteå AIK,0.29407045825959816
Linus Nässén ,2020-21,Frölunda HC,0.3844636868821683
Tobias Ekberg ,2020-21,Djurgårdens IF,0.1774551852628654
Emil Forslund ,2020-21,Växjö Lakers HC,0.2712770020110258
Joel Lundqvist ,2020-21,Frölunda HC,0.5785650100151503
Jacob Peterson ,2020-21,Färjestad BK,0.3712451192407238
Linus Öberg ,2020-21,Örebro HK,0.24583736120790978
Jacob Olofsson ,2020-21,Skellefteå AIK,0.3745879011944382
Filip Johansson ,2020-21,Frölunda HC,0.16910478335650958
Carl Jakobsson ,2020-21,Färjestad BK,0.2948461382438353
Gustav Backström ,2020-21,Örebro HK,0.17189643572276903
Jakob Bondesson ,2020-21,Rögle BK,0.1300034195505697
Tom Nilsson ,2020-21,Djurgårdens IF,0.2964381154012827
Emil Larsson ,2020-21,Örebro HK,0.4391410812841924
Linus Arnesson ,2020-21,Färjestad BK,0.30669107551130986
Gustav Rydahl ,2020-21,Färjestad BK,0.5046707149307934
Jonathan Andersson ,2020-21,Örebro HK,0.2838945125949523
Michael Haga ,2020-21,Djurgårdens IF,0.6114505808297896
Nicolai Meyer ,2020-21,Malmö Redhawks,0.3407631725797851
Filip Sandberg ,2020-21,HV71,0.4258215159342897
Broc Little ,2020-21,Linköping HC,0.7380656882749568
Johan Alcén ,2020-21,Brynäs IF,0.14399495487523142
Erik Andersson ,2020-21,Rögle BK,0.2738148912091739
Samuel Johannesson ,2020-21,Rögle BK,0.3227434458951636
Mattias Norlinder ,2020-21,Frölunda HC,0.24927636226768787
Albin Sundsvik ,2020-21,Skellefteå AIK,0.1714262089659845
Simon Lundmark ,2020-21,Linköping HC,0.0964668958038978
Alexander Holtz ,2020-21,Djurgårdens IF,0.41851984539092685
Linus Cronholm ,2020-21,Malmö Redhawks,0.24166725710920992
Carl Mattsson ,2020-21,Luleå HF,0.24496969558461282
Richard Gynge ,2020-21,Växjö Lakers HC,0.46784894693824675
Philip Broberg ,2020-21,Skellefteå AIK,0.1663040754056734
Adam Edström ,2020-21,Rögle BK,0.28113872324829975
Albert Johansson ,2020-21,Färjestad BK,0.30240263954416324
Lucas Raymond ,2020-21,Frölunda HC,0.3182478279925439
Patrik Carlsson ,2020-21,Frölunda HC,0.5417109514599521
Patrik Lundh ,2020-21,Linköping HC,0.39091412035153345
Christoffer Törngren ,2020-21,HV71,0.505818397598523
Manuel Ågren ,2020-21,Djurgårdens IF,0.4409408115176052
Michael Lindqvist ,2020-21,Färjestad BK,0.8349999816712316
Niclas Andersén ,2020-21,Brynäs IF,0.16955957384088866
Brendan Shinnimin ,2020-21,Växjö Lakers HC,0.39765011835065095
Éric Gélinas ,2020-21,Rögle BK,0.4413066777506002
Jonas Ahnelöv ,2020-21,Leksands IF,0.38798116818425077
Oscar Engsund ,2020-21,Luleå HF,0.2219192729518742
Filiph Engsund ,2020-21,IK Oskarshamn,0.425636133721339
Anton Hedman ,2020-21,Djurgårdens IF,0.38157795062796707
Mattias Göransson ,2020-21,Leksands IF,0.3041789383256971
Leon Bristedt ,2020-21,Rögle BK,0.6400055943415788
Robin Norell ,2020-21,Djurgårdens IF,0.1811929537563393
Didrik Strömberg ,2020-21,HV71,0.19212282613698137
Adam Brodecki ,2020-21,Malmö Redhawks,0.35340071213112617
Daniel Zaar ,2020-21,Rögle BK,0.5698390922236524
Jacob Andersson ,2020-21,Skellefteå AIK,0.17768803643700978
Arvid Lundberg ,2020-21,Skellefteå AIK,0.3173581948881836
Noel Gunler ,2020-21,Luleå HF,0.2921570803086304
Mattias Sjögren ,2020-21,Rögle BK,0.45002570245850293
Arttu Ilomäki ,2020-21,Luleå HF,0.7383860296938545
Andreé Hult ,2020-21,Leksands IF,0.14862972279250095
Christoffer Forsberg ,2020-21,Malmö Redhawks,0.2407046994164571
Mattias Guter ,2020-21,Djurgårdens IF,0.32635615968417653
Pontus Widerström ,2020-21,Färjestad BK,0.2241331106986991
Anders Grönlund ,2020-21,Frölunda HC,0.15309228030641012
Nichlas Torp ,2020-21,IK Oskarshamn,0.2667721394190413
Simon Önerud ,2020-21,HV71,0.5172827041648058
Miika Koivisto ,2020-21,Växjö Lakers HC,0.3572807140412444
Christian Sandberg ,2020-21,HV71,0.25789580373293464
Brian Cooper ,2020-21,IK Oskarshamn,0.269825246788549
Juuso Ikonen ,2020-21,HV71,0.31755783826587647
Jarno Kärki ,2020-21,Linköping HC,0.41761733667080736
Viktor Ekbom ,2020-21,Frölunda HC,0.21934805161613244
Simon Hjalmarsson ,2020-21,Frölunda HC,0.5854897785194875
Nicklas Lasu ,2020-21,Frölunda HC,0.34362275247510565
Johan Fransson ,2020-21,Leksands IF,0.23449746825241644
Daniel Sondell ,2020-21,Luleå HF,0.46606482001391714
Jimmy Andersson ,2020-21,Linköping HC,0.18038191935282413
Oscar Möller ,2020-21,Skellefteå AIK,0.5551518025105922
Erik Gustafsson ,2020-21,Luleå HF,0.5396046415309695
Sebastian Erixon ,2020-21,Färjestad BK,0.3892851540425701
Erik Josefsson ,2020-21,Växjö Lakers HC,0.5003723089358681
Tim Erixon ,2020-21,Växjö Lakers HC,0.1767112669640479
Oskar Nilsson ,2020-21,Skellefteå AIK,0.23433215857487116
Nicklas Danielsson ,2020-21,Brynäs IF,0.6023926463714385
Carl Persson ,2020-21,Malmö Redhawks,0.27837485752351016
Marcus Högström ,2020-21,Djurgårdens IF,0.6158425966023632
Jens Westin ,2020-21,Färjestad BK,0.20784221549079981
Jaedon Descheneau ,2020-21,Brynäs IF,0.47775048836281203
Ludvig Nilsson ,2020-21,Växjö Lakers HC,0.3606941667730078
Josef Ingman ,2020-21,Brynäs IF,0.16169107279034936
Stefan Warg ,2020-21,Örebro HK,0.14776601818790563
Daniel Bertov ,2020-21,HV71,0.20163831120412468
Rickard Palmberg ,2020-21,IK Oskarshamn,0.7634277404954594
Henrik Eriksson ,2020-21,Djurgårdens IF,0.32596299867885575
Martin Lundberg ,2020-21,Växjö Lakers HC,0.2485451286362342
Anton Rödin ,2020-21,Brynäs IF,0.913038155769885
Daniel Viksten ,2020-21,Färjestad BK,0.5110148304351355
Niclas Burström ,2020-21,Skellefteå AIK,0.29104187835014056
Erlend Lesund ,2020-21,Rögle BK,0.22529379763952992
Tuomas Kiiskinen ,2020-21,Skellefteå AIK,0.4769938122267549
Jacob Josefson ,2020-21,Djurgårdens IF,0.5580051992409143
Emil Johansson ,2020-21,HV71,0.24563134449645307
Aaron Irving ,2020-21,Örebro HK,0.29079773123681735
Robin Kovács ,2020-21,Örebro HK,0.5970291871678534
Niklas Hansson ,2020-21,Rögle BK,0.5430917435455185
Daniel Muzito Bagenda ,2020-21,Örebro HK,0.3599498219118136
Pontus Själin ,2020-21,Luleå HF,0.16506416422053022
Axel Holmström ,2020-21,HV71,0.41103058827067573
Gustaf Franzén ,2020-21,IK Oskarshamn,0.20305064132906947
Henrik Törnqvist ,2020-21,Linköping HC,0.4201128490550489
Hampus Larsson ,2020-21,Linköping HC,0.12468279700842394
Jesper Frödén ,2020-21,Skellefteå AIK,0.6263777679274951
Craig Schira ,2020-21,Rögle BK,0.23298194578191342
Jonathan Sigalet ,2020-21,Brynäs IF,0.19794745147553514
Sebastian Wännström ,2020-21,Leksands IF,0.2872500120525722
Fredrik Styrman ,2020-21,Luleå HF,0.3650922017368906
Jonas Berglund ,2020-21,Luleå HF,0.27492267953458943
Vojtech Mozik ,2020-21,Färjestad BK,0.2232683196241509
Fredrik Forsberg ,2020-21,HV71,0.4353908126176867
