playername,season,team,predicted_2020
Niklas Arell ,2020-21,HV71,0.2633603260000623
Peter Andersson ,2020-21,Växjö Lakers HC,0.14817777606740334
Adam Tambellini ,2020-21,Rögle BK,0.6850885960104537
Martin Karlsson ,2020-21,Leksands IF,0.3242985139537655
Daniel Mannberg ,2020-21,Brynäs IF,0.3368603566343935
Emil Sylvegård ,2020-21,Malmö Redhawks,0.4363032901477464
Adam Pettersson ,2020-21,Brynäs IF,0.33956949529667346
Fredrik Forsberg ,2020-21,Leksands IF,0.35127544709646324
Sebastian Strandberg ,2020-21,Djurgårdens IF,0.5807818648586769
Lucas Ekeståhl Jonsson ,2020-21,Rögle BK,0.28141327342656863
Ilari Melart ,2020-21,Växjö Lakers HC,0.34289186418721185
Filip Karlsson ,2020-21,IK Oskarshamn,0.18401855729337588
Filip Berglund ,2020-21,Linköping HC,0.3934289585015287
Tomi Sallinen ,2020-21,Brynäs IF,0.537500651939403
Andrew Gordon ,2020-21,Linköping HC,0.5767860960900096
Adam Ollas Mattsson ,2020-21,Malmö Redhawks,0.20358446627028226
Jakob Forsbacka Karlsson ,2020-21,Växjö Lakers HC,0.3627070777870689
Alexander Lindelöf ,2020-21,Brynäs IF,0.09019227114499088
Jonathon Blum ,2020-21,Färjestad BK,0.6069446976939158
Markus Lauridsen ,2020-21,Malmö Redhawks,0.5534219381041903
Taylor Matson ,2020-21,Rögle BK,0.29930861654808294
Jonas Engström ,2020-21,IK Oskarshamn,0.506145815822434
Johannes Salmonsson ,2020-21,IK Oskarshamn,0.4231986795105116
Mattias Bäckman ,2020-21,Linköping HC,0.1593584883739597
Petter Emanuelsson ,2020-21,Luleå HF,0.44412102211276777
Daniel Olsson Trkulja ,2020-21,Leksands IF,0.35934394604542574
Ludvig Rensfeldt ,2020-21,Örebro HK,0.35365038451128794
Eddie Larsson ,2020-21,Luleå HF,0.2436563534687418
Daniel Gunnarsson ,2020-21,Leksands IF,0.3802107817136481
Dennis Everberg ,2020-21,Rögle BK,0.5789022708296386
Max Friberg ,2020-21,Frölunda HC,0.39953992263466376
Petter Granberg ,2020-21,Skellefteå AIK,0.15422456372555232
Oskar Lang ,2020-21,Leksands IF,0.3937234344000724
Linus Ölund ,2020-21,Brynäs IF,0.373125582525387
Einar Emanuelsson ,2020-21,Luleå HF,0.4064895640370828
Kim Rosdahl ,2020-21,IK Oskarshamn,0.436955281146351
Joel Mustonen ,2020-21,Frölunda HC,0.2553010500099148
Matias Lassen ,2020-21,Malmö Redhawks,0.1838129548734951
Axel Wemmenborn ,2020-21,Malmö Redhawks,0.36345072630190245
Tyler Kelleher ,2020-21,IK Oskarshamn,0.4789489822970858
Greg Scott ,2020-21,Brynäs IF,0.7006165426636728
Jack Connolly ,2020-21,Luleå HF,0.41328647754434306
Jonas Holøs ,2020-21,Linköping HC,0.31162697357307384
Markus Modigs ,2020-21,IK Oskarshamn,0.32409390801254184
Joonas Rask ,2020-21,Örebro HK,0.3642480582639711
Jesper Jensen Aabo ,2020-21,Malmö Redhawks,0.41302544763832655
Jaakko Rissanen ,2020-21,Linköping HC,0.5289038919937288
Juhani Tyrväinen ,2020-21,Luleå HF,0.5971161088062522
Joakim Thelin ,2020-21,IK Oskarshamn,0.344190043519353
Johan Sundström ,2020-21,Frölunda HC,0.565414191536388
Anton Bengtsson ,2020-21,Rögle BK,0.3091230268293845
Jesper Kokkonen ,2020-21,HV71,0.37214464396638136
Dan Pettersson ,2020-21,Linköping HC,0.1891587080674565
Lars Bryggman ,2020-21,Malmö Redhawks,0.5283147412363743
