date,game,score,periodscore,spectators,schedule_id,game_id,league,season,home,away,score_home,score_away,p1score,p2score,p3score,p4score,p5score,p1score_home,p1score_away,p2score_home,p2score_away,p3score_home,p3score_away,p4score_home,p4score_away,p5score_home,p5score_away,result,result_p1,result_p2,result_p3,result_p4,result_p5
2019-09-14,Frölunda HC  - Brynäs IF,2 - 5,"0-2, 0-3, 2-0",12044,10371,441805,shl,2019/20,Frölunda HC,Brynäs IF,2,5,0-2, 0-3, 2-0,,,0,2,0,3,2,0,,,,,away,away,away,home,,
2019-09-14,Skellefteå AIK  - IK Oskarshamn,5 - 4,"0-1, 3-3, 1-0, 1-0",5137,10371,441808,shl,2019/20,Skellefteå AIK,IK Oskarshamn,5,4,0-1, 3-3, 1-0, 1-0,,0,1,3,3,1,0,1.0,0.0,,,draw,away,draw,home,home,
2019-09-14,Leksands IF  - IF Malmö Redhawks,5 - 2,"1-2, 0-0, 4-0",7650,10371,441809,shl,2019/20,Leksands IF,IF Malmö Redhawks,5,2,1-2, 0-0, 4-0,,,1,2,0,0,4,0,,,,,home,away,draw,home,,
2019-09-14,Djurgårdens IF  - Linköping HC,4 - 2,"0-1, 3-1, 1-0",7018,10371,441803,shl,2019/20,Djurgårdens IF,Linköping HC,4,2,0-1, 3-1, 1-0,,,0,1,3,1,1,0,,,,,home,away,home,home,,
2019-09-14,Färjestad BK  - Örebro HK,4 - 6,"2-2, 1-2, 1-2",8250,10371,441804,shl,2019/20,Färjestad BK,Örebro HK,4,6,2-2, 1-2, 1-2,,,2,2,1,2,1,2,,,,,away,draw,away,away,,
2019-09-14,Luleå HF  - Växjö Lakers HC,3 - 1,"1-0, 2-0, 0-1",6150,10371,441806,shl,2019/20,Luleå HF,Växjö Lakers HC,3,1,1-0, 2-0, 0-1,,,1,0,2,0,0,1,,,,,home,home,home,away,,
2019-09-14,Rögle BK  - HV 71,4 - 0,"4-0, 0-0, 0-0",5018,10371,441807,shl,2019/20,Rögle BK,HV 71,4,0,4-0, 0-0, 0-0,,,4,0,0,0,0,0,,,,,home,home,draw,draw,,
2019-09-17,HV 71  - Frölunda HC,3 - 2,"1-1, 1-0, 1-1",6532,10371,441810,shl,2019/20,HV 71,Frölunda HC,3,2,1-1, 1-0, 1-1,,,1,1,1,0,1,1,,,,,home,draw,home,draw,,
2019-09-17,Linköping HC  - Brynäs IF,4 - 3,"0-2, 1-0, 2-1, 1-0",6625,10371,441811,shl,2019/20,Linköping HC,Brynäs IF,4,3,0-2, 1-0, 2-1, 1-0,,0,2,1,0,2,1,1.0,0.0,,,draw,away,home,home,home,
2019-09-17,IF Malmö Redhawks  - Rögle BK,3 - 4,"1-2, 0-1, 2-1",9559,10371,441812,shl,2019/20,IF Malmö Redhawks,Rögle BK,3,4,1-2, 0-1, 2-1,,,1,2,0,1,2,1,,,,,away,away,away,home,,
2019-09-17,IK Oskarshamn  - Leksands IF,4 - 1,"0-1, 1-0, 3-0",3275,10371,441813,shl,2019/20,IK Oskarshamn,Leksands IF,4,1,0-1, 1-0, 3-0,,,0,1,1,0,3,0,,,,,home,away,home,home,,
2019-09-17,Örebro HK  - Luleå HF,2 - 1,"0-0, 1-1, 1-0",5500,10371,441814,shl,2019/20,Örebro HK,Luleå HF,2,1,0-0, 1-1, 1-0,,,0,0,1,1,1,0,,,,,home,draw,draw,home,,
2019-09-17,Skellefteå AIK  - Färjestad BK,3 - 1,"1-0, 2-1, 0-0",3566,10371,441815,shl,2019/20,Skellefteå AIK,Färjestad BK,3,1,1-0, 2-1, 0-0,,,1,0,2,1,0,0,,,,,home,home,home,draw,,
2019-09-17,Växjö Lakers HC  - Djurgårdens IF,3 - 5,"3-3, 0-2, 0-0",4267,10371,441816,shl,2019/20,Växjö Lakers HC,Djurgårdens IF,3,5,3-3, 0-2, 0-0,,,3,3,0,2,0,0,,,,,away,draw,away,draw,,
2019-09-19,Djurgårdens IF  - Örebro HK,4 - 2,"2-1, 0-0, 2-1",4537,10371,441818,shl,2019/20,Djurgårdens IF,Örebro HK,4,2,2-1, 0-0, 2-1,,,2,1,0,0,2,1,,,,,home,home,draw,home,,
2019-09-19,Färjestad BK  - Växjö Lakers HC,4 - 2,"0-2, 2-0, 2-0",5467,10371,441819,shl,2019/20,Färjestad BK,Växjö Lakers HC,4,2,0-2, 2-0, 2-0,,,0,2,2,0,2,0,,,,,home,away,home,home,,
2019-09-19,Frölunda HC  - Linköping HC,4 - 0,"2-0, 1-0, 1-0",8549,10371,441820,shl,2019/20,Frölunda HC,Linköping HC,4,0,2-0, 1-0, 1-0,,,2,0,1,0,1,0,,,,,home,home,home,home,,
2019-09-19,Luleå HF  - HV 71,3 - 2,"0-2, 1-0, 1-0, 1-0",5818,10371,441821,shl,2019/20,Luleå HF,HV 71,3,2,0-2, 1-0, 1-0, 1-0,,0,2,1,0,1,0,1.0,0.0,,,draw,away,home,home,home,
2019-09-19,Rögle BK  - IK Oskarshamn,0 - 1,"0-0, 0-0, 0-1",3814,10371,441822,shl,2019/20,Rögle BK,IK Oskarshamn,0,1,0-0, 0-0, 0-1,,,0,0,0,0,0,1,,,,,away,draw,draw,away,,
2019-09-19,Leksands IF  - Skellefteå AIK,3 - 2,"0-0, 1-2, 2-0",4303,10371,441823,shl,2019/20,Leksands IF,Skellefteå AIK,3,2,0-0, 1-2, 2-0,,,0,0,1,2,2,0,,,,,home,draw,away,home,,
2019-09-21,Brynäs IF  - Färjestad BK,1 - 2,"0-1, 1-0, 0-1",7561,10371,441824,shl,2019/20,Brynäs IF,Färjestad BK,1,2,0-1, 1-0, 0-1,,,0,1,1,0,0,1,,,,,away,away,home,away,,
2019-09-21,HV 71  - Leksands IF,2 - 1,"1-0, 0-0, 0-1, 0-0, 1-0",6327,10371,441825,shl,2019/20,HV 71,Leksands IF,2,1,1-0, 0-0, 0-1, 0-0, 1-0,1,0,0,0,0,1,0.0,0.0,1.0,0.0,draw,home,draw,away,draw,home
2019-09-21,Linköping HC  - Rögle BK,2 - 3,"1-2, 0-1, 1-0",5122,10371,441826,shl,2019/20,Linköping HC,Rögle BK,2,3,1-2, 0-1, 1-0,,,1,2,0,1,1,0,,,,,away,away,away,home,,
2019-09-21,IF Malmö Redhawks  - Luleå HF,4 - 1,"1-0, 2-0, 1-1",5075,10371,441827,shl,2019/20,IF Malmö Redhawks,Luleå HF,4,1,1-0, 2-0, 1-1,,,1,0,2,0,1,1,,,,,home,home,home,draw,,
2019-09-21,IK Oskarshamn  - Djurgårdens IF,3 - 2,"0-0, 1-0, 2-2",3275,10371,441828,shl,2019/20,IK Oskarshamn,Djurgårdens IF,3,2,0-0, 1-0, 2-2,,,0,0,1,0,2,2,,,,,home,draw,home,draw,,
2019-09-21,Örebro HK  - Frölunda HC,3 - 4,"1-0, 0-1, 2-3",5258,10371,441829,shl,2019/20,Örebro HK,Frölunda HC,3,4,1-0, 0-1, 2-3,,,1,0,0,1,2,3,,,,,away,home,away,away,,
2019-09-21,Växjö Lakers HC  - Skellefteå AIK,1 - 4,"0-3, 0-0, 1-1",4303,10371,441830,shl,2019/20,Växjö Lakers HC,Skellefteå AIK,1,4,0-3, 0-0, 1-1,,,0,3,0,0,1,1,,,,,away,away,draw,draw,,
2019-09-24,Leksands IF  - Brynäs IF,5 - 1,"3-0, 1-1, 1-0",7008,10371,441836,shl,2019/20,Leksands IF,Brynäs IF,5,1,3-0, 1-1, 1-0,,,3,0,1,1,1,0,,,,,home,home,draw,home,,
2019-09-26,Djurgårdens IF  - HV 71,2 - 1,"0-0, 1-0, 0-1, 0-0, 1-0",5994,10371,441831,shl,2019/20,Djurgårdens IF,HV 71,2,1,0-0, 1-0, 0-1, 0-0, 1-0,0,0,1,0,0,1,0.0,0.0,1.0,0.0,draw,draw,home,away,draw,home
2019-09-26,Färjestad BK  - IF Malmö Redhawks,4 - 3,"0-0, 1-2, 2-1, 1-0",6143,10371,441832,shl,2019/20,Färjestad BK,IF Malmö Redhawks,4,3,0-0, 1-2, 2-1, 1-0,,0,0,1,2,2,1,1.0,0.0,,,draw,draw,away,home,home,
2019-09-26,Luleå HF  - Linköping HC,4 - 1,"3-1, 1-0, 0-0",4315,10371,441833,shl,2019/20,Luleå HF,Linköping HC,4,1,3-1, 1-0, 0-0,,,3,1,1,0,0,0,,,,,home,home,home,draw,,
2019-09-26,Örebro HK  - Rögle BK,2 - 3,"1-1, 1-0, 0-1, 0-0, 0-1",4727,10371,441834,shl,2019/20,Örebro HK,Rögle BK,2,3,1-1, 1-0, 0-1, 0-0, 0-1,1,1,1,0,0,1,0.0,0.0,0.0,1.0,draw,draw,home,away,draw,away
2019-09-26,Skellefteå AIK  - Frölunda HC,1 - 6,"1-1, 0-2, 0-3",4524,10371,441835,shl,2019/20,Skellefteå AIK,Frölunda HC,1,6,1-1, 0-2, 0-3,,,1,1,0,2,0,3,,,,,away,draw,away,away,,
2019-09-26,Växjö Lakers HC  - IK Oskarshamn,3 - 2,"1-0, 1-1, 1-1",4771,10371,441837,shl,2019/20,Växjö Lakers HC,IK Oskarshamn,3,2,1-0, 1-1, 1-1,,,1,0,1,1,1,1,,,,,home,home,draw,draw,,
2019-09-28,IF Malmö Redhawks  - Örebro HK,4 - 1,"1-0, 2-1, 1-0",5403,10371,441842,shl,2019/20,IF Malmö Redhawks,Örebro HK,4,1,1-0, 2-1, 1-0,,,1,0,2,1,1,0,,,,,home,home,home,home,,
2019-09-28,IK Oskarshamn  - Luleå HF,2 - 4,"1-2, 1-1, 0-1",3086,10371,441843,shl,2019/20,IK Oskarshamn,Luleå HF,2,4,1-2, 1-1, 0-1,,,1,2,1,1,0,1,,,,,away,away,draw,away,,
2019-09-28,Rögle BK  - Leksands IF,5 - 3,"1-2, 2-0, 2-1",5051,10371,441844,shl,2019/20,Rögle BK,Leksands IF,5,3,1-2, 2-0, 2-1,,,1,2,2,0,2,1,,,,,home,away,home,home,,
2019-09-28,Frölunda HC  - Färjestad BK,5 - 2,"1-1, 2-1, 2-0",11301,10371,441839,shl,2019/20,Frölunda HC,Färjestad BK,5,2,1-1, 2-1, 2-0,,,1,1,2,1,2,0,,,,,home,draw,home,home,,
2019-09-28,HV 71  - Skellefteå AIK,1 - 3,"0-0, 1-1, 0-2",6109,10371,441840,shl,2019/20,HV 71,Skellefteå AIK,1,3,0-0, 1-1, 0-2,,,0,0,1,1,0,2,,,,,away,draw,draw,away,,
2019-09-28,Linköping HC  - Växjö Lakers HC,3 - 2,"1-1, 1-0, 1-1",5322,10371,441841,shl,2019/20,Linköping HC,Växjö Lakers HC,3,2,1-1, 1-0, 1-1,,,1,1,1,0,1,1,,,,,home,draw,home,draw,,
2019-10-01,Brynäs IF  - Djurgårdens IF,4 - 3,"2-0, 1-2, 1-1",6029,10371,441838,shl,2019/20,Brynäs IF,Djurgårdens IF,4,3,2-0, 1-2, 1-1,,,2,0,1,2,1,1,,,,,home,home,away,draw,,
2019-10-01,HV 71  - Linköping HC,5 - 0,"2-0, 3-0, 0-0",6218,10371,441861,shl,2019/20,HV 71,Linköping HC,5,0,2-0, 3-0, 0-0,,,2,0,3,0,0,0,,,,,home,home,home,draw,,
2019-10-03,Djurgårdens IF  - Färjestad BK,5 - 6,"0-1, 3-2, 2-2, 0-0, 0-1",6034,10371,441845,shl,2019/20,Djurgårdens IF,Färjestad BK,5,6,0-1, 3-2, 2-2, 0-0, 0-1,0,1,3,2,2,2,0.0,0.0,0.0,1.0,draw,away,home,draw,draw,away
2019-10-03,IK Oskarshamn  - HV 71,2 - 3,"0-0, 1-0, 1-2, 0-1",3275,10371,441846,shl,2019/20,IK Oskarshamn,HV 71,2,3,0-0, 1-0, 1-2, 0-1,,0,0,1,0,1,2,0.0,1.0,,,draw,draw,home,away,away,
2019-10-03,Örebro HK  - Brynäs IF,6 - 1,"1-0, 1-1, 4-0",5007,10371,441847,shl,2019/20,Örebro HK,Brynäs IF,6,1,1-0, 1-1, 4-0,,,1,0,1,1,4,0,,,,,home,home,draw,home,,
2019-10-03,Rögle BK  - Luleå HF,3 - 2,"0-0, 0-1, 2-1, 1-0",4273,10371,441848,shl,2019/20,Rögle BK,Luleå HF,3,2,0-0, 0-1, 2-1, 1-0,,0,0,0,1,2,1,1.0,0.0,,,draw,draw,away,home,home,
2019-10-03,Skellefteå AIK  - Linköping HC,3 - 1,"0-0, 1-1, 2-0",4036,10371,441849,shl,2019/20,Skellefteå AIK,Linköping HC,3,1,0-0, 1-1, 2-0,,,0,0,1,1,2,0,,,,,home,draw,draw,home,,
2019-10-03,Leksands IF  - Frölunda HC,2 - 4,"1-1, 1-1, 0-2",5485,10371,441850,shl,2019/20,Leksands IF,Frölunda HC,2,4,1-1, 1-1, 0-2,,,1,1,1,1,0,2,,,,,away,draw,draw,away,,
2019-10-03,Växjö Lakers HC  - IF Malmö Redhawks,1 - 4,"0-2, 0-0, 1-2",4102,10371,441851,shl,2019/20,Växjö Lakers HC,IF Malmö Redhawks,1,4,0-2, 0-0, 1-2,,,0,2,0,0,1,2,,,,,away,away,draw,away,,
2019-10-05,Brynäs IF  - HV 71,1 - 4,"0-3, 0-0, 1-1",5586,10371,441852,shl,2019/20,Brynäs IF,HV 71,1,4,0-3, 0-0, 1-1,,,0,3,0,0,1,1,,,,,away,away,draw,draw,,
2019-10-05,Färjestad BK  - IK Oskarshamn,12 - 0,"7-0, 3-0, 2-0",7324,10371,441853,shl,2019/20,Färjestad BK,IK Oskarshamn,12,0,7-0, 3-0, 2-0,,,7,0,3,0,2,0,,,,,home,home,home,home,,
2019-10-05,Linköping HC  - IF Malmö Redhawks,1 - 2,"1-1, 0-0, 0-0, 0-0, 0-1",5201,10371,441855,shl,2019/20,Linköping HC,IF Malmö Redhawks,1,2,1-1, 0-0, 0-0, 0-0, 0-1,1,1,0,0,0,0,0.0,0.0,0.0,1.0,draw,draw,draw,draw,draw,away
2019-10-05,Leksands IF  - Växjö Lakers HC,1 - 3,"0-1, 0-1, 1-1",6869,10371,441907,shl,2019/20,Leksands IF,Växjö Lakers HC,1,3,0-1, 0-1, 1-1,,,0,1,0,1,1,1,,,,,away,away,away,draw,,
2019-10-05,Frölunda HC  - Rögle BK,1 - 2,"0-0, 1-1, 0-1",11426,10371,441854,shl,2019/20,Frölunda HC,Rögle BK,1,2,0-0, 1-1, 0-1,,,0,0,1,1,0,1,,,,,away,draw,draw,away,,
2019-10-05,Luleå HF  - Djurgårdens IF,1 - 3,"0-0, 1-3, 0-0",5925,10371,441856,shl,2019/20,Luleå HF,Djurgårdens IF,1,3,0-0, 1-3, 0-0,,,0,0,1,3,0,0,,,,,away,draw,away,draw,,
2019-10-05,Örebro HK  - Skellefteå AIK,5 - 1,"2-0, 2-1, 1-0",5162,10371,441912,shl,2019/20,Örebro HK,Skellefteå AIK,5,1,2-0, 2-1, 1-0,,,2,0,2,1,1,0,,,,,home,home,home,home,,
2019-10-10,Färjestad BK  - Leksands IF,6 - 4,"1-2, 3-1, 2-1",7687,10371,441860,shl,2019/20,Färjestad BK,Leksands IF,6,4,1-2, 3-1, 2-1,,,1,2,3,1,2,1,,,,,home,away,home,home,,
2019-10-10,IF Malmö Redhawks  - Skellefteå AIK,0 - 4,"0-2, 0-1, 0-1",5003,10371,441862,shl,2019/20,IF Malmö Redhawks,Skellefteå AIK,0,4,0-2, 0-1, 0-1,,,0,2,0,1,0,1,,,,,away,away,away,away,,
2019-10-10,IK Oskarshamn  - Frölunda HC,1 - 3,"0-1, 1-1, 0-1",3118,10371,441863,shl,2019/20,IK Oskarshamn,Frölunda HC,1,3,0-1, 1-1, 0-1,,,0,1,1,1,0,1,,,,,away,away,draw,away,,
2019-10-10,Örebro HK  - Växjö Lakers HC,4 - 1,"0-1, 1-0, 3-0",5018,10371,441864,shl,2019/20,Örebro HK,Växjö Lakers HC,4,1,0-1, 1-0, 3-0,,,0,1,1,0,3,0,,,,,home,away,home,home,,
2019-10-10,Rögle BK  - Djurgårdens IF,2 - 1,"1-0, 0-0, 0-1, 1-0",5007,10371,441865,shl,2019/20,Rögle BK,Djurgårdens IF,2,1,1-0, 0-0, 0-1, 1-0,,1,0,0,0,0,1,1.0,0.0,,,draw,home,draw,away,home,
2019-10-10,Luleå HF  - Brynäs IF,4 - 0,"1-0, 1-0, 2-0",4356,10371,442153,shl,2019/20,Luleå HF,Brynäs IF,4,0,1-0, 1-0, 2-0,,,1,0,1,0,2,0,,,,,home,home,home,home,,
2019-10-12,Djurgårdens IF  - IF Malmö Redhawks,4 - 0,"0-0, 2-0, 2-0",6124,10371,441866,shl,2019/20,Djurgårdens IF,IF Malmö Redhawks,4,0,0-0, 2-0, 2-0,,,0,0,2,0,2,0,,,,,home,draw,home,home,,
2019-10-12,Örebro HK  - IK Oskarshamn,3 - 2,"0-1, 3-1, 0-0",5500,10371,441869,shl,2019/20,Örebro HK,IK Oskarshamn,3,2,0-1, 3-1, 0-0,,,0,1,3,1,0,0,,,,,home,away,home,draw,,
2019-10-12,Växjö Lakers HC  - Rögle BK,1 - 3,"0-1, 1-0, 0-2",5023,10371,441872,shl,2019/20,Växjö Lakers HC,Rögle BK,1,3,0-1, 1-0, 0-2,,,0,1,1,0,0,2,,,,,away,away,home,away,,
2019-10-12,Frölunda HC  - Luleå HF,4 - 1,"2-1, 0-0, 2-0",8944,10371,442198,shl,2019/20,Frölunda HC,Luleå HF,4,1,2-1, 0-0, 2-0,,,2,1,0,0,2,0,,,,,home,home,draw,home,,
2019-10-12,HV 71  - Färjestad BK,3 - 4,"1-0, 2-1, 0-3",7000,10371,441867,shl,2019/20,HV 71,Färjestad BK,3,4,1-0, 2-1, 0-3,,,1,0,2,1,0,3,,,,,away,home,home,away,,
2019-10-12,Skellefteå AIK  - Brynäs IF,4 - 1,"2-0, 0-0, 2-1",4636,10371,441870,shl,2019/20,Skellefteå AIK,Brynäs IF,4,1,2-0, 0-0, 2-1,,,2,0,0,0,2,1,,,,,home,home,draw,home,,
2019-10-12,Leksands IF  - Linköping HC,2 - 5,"2-3, 0-2, 0-0",5581,10371,441871,shl,2019/20,Leksands IF,Linköping HC,2,5,2-3, 0-2, 0-0,,,2,3,0,2,0,0,,,,,away,away,away,draw,,
2019-10-17,Brynäs IF  - IK Oskarshamn,4 - 1,"1-0, 1-1, 2-0",5110,10371,441873,shl,2019/20,Brynäs IF,IK Oskarshamn,4,1,1-0, 1-1, 2-0,,,1,0,1,1,2,0,,,,,home,home,draw,home,,
2019-10-17,Djurgårdens IF  - Skellefteå AIK,1 - 3,"1-1, 0-0, 0-2",5646,10371,441874,shl,2019/20,Djurgårdens IF,Skellefteå AIK,1,3,1-1, 0-0, 0-2,,,1,1,0,0,0,2,,,,,away,draw,draw,away,,
2019-10-17,Frölunda HC  - Växjö Lakers HC,6 - 5,"0-1, 3-1, 2-3, 1-0",9207,10371,441875,shl,2019/20,Frölunda HC,Växjö Lakers HC,6,5,0-1, 3-1, 2-3, 1-0,,0,1,3,1,2,3,1.0,0.0,,,draw,away,home,away,home,
2019-10-17,Linköping HC  - Örebro HK,2 - 5,"1-0, 1-3, 0-2",7922,10371,441876,shl,2019/20,Linköping HC,Örebro HK,2,5,1-0, 1-3, 0-2,,,1,0,1,3,0,2,,,,,away,home,away,away,,
2019-10-17,Luleå HF  - Leksands IF,4 - 3,"1-1, 2-1, 1-1",4780,10371,441877,shl,2019/20,Luleå HF,Leksands IF,4,3,1-1, 2-1, 1-1,,,1,1,2,1,1,1,,,,,home,draw,home,draw,,
2019-10-17,IF Malmö Redhawks  - HV 71,3 - 4,"0-3, 2-0, 1-0, 0-0, 0-1",5232,10371,441878,shl,2019/20,IF Malmö Redhawks,HV 71,3,4,0-3, 2-0, 1-0, 0-0, 0-1,0,3,2,0,1,0,0.0,0.0,0.0,1.0,draw,away,home,home,draw,away
2019-10-17,Färjestad BK  - Rögle BK,5 - 3,"3-0, 0-1, 2-2",6121,10371,441929,shl,2019/20,Färjestad BK,Rögle BK,5,3,3-0, 0-1, 2-2,,,3,0,0,1,2,2,,,,,home,home,away,draw,,
2019-10-19,Färjestad BK  - Luleå HF,2 - 3,"0-0, 2-3, 0-0",6432,10371,441880,shl,2019/20,Färjestad BK,Luleå HF,2,3,0-0, 2-3, 0-0,,,0,0,2,3,0,0,,,,,away,draw,away,draw,,
2019-10-19,Frölunda HC  - IF Malmö Redhawks,4 - 1,"1-0, 0-1, 3-0",10227,10371,441881,shl,2019/20,Frölunda HC,IF Malmö Redhawks,4,1,1-0, 0-1, 3-0,,,1,0,0,1,3,0,,,,,home,home,away,home,,
2019-10-19,Rögle BK  - Skellefteå AIK,3 - 0,"1-0, 1-0, 1-0",4897,10371,441884,shl,2019/20,Rögle BK,Skellefteå AIK,3,0,1-0, 1-0, 1-0,,,1,0,1,0,1,0,,,,,home,home,home,home,,
2019-10-19,Leksands IF  - Djurgårdens IF,0 - 4,"0-2, 0-1, 0-1",7650,10371,441885,shl,2019/20,Leksands IF,Djurgårdens IF,0,4,0-2, 0-1, 0-1,,,0,2,0,1,0,1,,,,,away,away,away,away,,
2019-10-19,IK Oskarshamn  - Linköping HC,3 - 2,"1-2, 2-0, 0-0",3183,10371,441882,shl,2019/20,IK Oskarshamn,Linköping HC,3,2,1-2, 2-0, 0-0,,,1,2,2,0,0,0,,,,,home,away,home,draw,,
2019-10-19,Örebro HK  - HV 71,1 - 3,"0-2, 0-0, 1-1",5500,10371,441883,shl,2019/20,Örebro HK,HV 71,1,3,0-2, 0-0, 1-1,,,0,2,0,0,1,1,,,,,away,away,draw,draw,,
2019-10-19,Växjö Lakers HC  - Brynäs IF,4 - 1,"1-1, 2-0, 1-0",4917,10371,441886,shl,2019/20,Växjö Lakers HC,Brynäs IF,4,1,1-1, 2-0, 1-0,,,1,1,2,0,1,0,,,,,home,draw,home,home,,
2019-10-22,Skellefteå AIK  - Luleå HF,2 - 3,"0-1, 1-1, 1-1",5801,10371,441892,shl,2019/20,Skellefteå AIK,Luleå HF,2,3,0-1, 1-1, 1-1,,,0,1,1,1,1,1,,,,,away,away,draw,draw,,
2019-10-24,IF Malmö Redhawks  - IK Oskarshamn,3 - 1,"0-0, 2-0, 1-1",4335,10371,441891,shl,2019/20,IF Malmö Redhawks,IK Oskarshamn,3,1,0-0, 2-0, 1-1,,,0,0,2,0,1,1,,,,,home,draw,home,draw,,
2019-10-24,Brynäs IF  - Rögle BK,2 - 1,"0-0, 1-1, 0-0, 1-0",5053,10371,441887,shl,2019/20,Brynäs IF,Rögle BK,2,1,0-0, 1-1, 0-0, 1-0,,0,0,1,1,0,0,1.0,0.0,,,draw,draw,draw,draw,home,
2019-10-24,Djurgårdens IF  - Frölunda HC,2 - 3,"0-1, 1-1, 1-0, 0-1",6390,10371,441888,shl,2019/20,Djurgårdens IF,Frölunda HC,2,3,0-1, 1-1, 1-0, 0-1,,0,1,1,1,1,0,0.0,1.0,,,draw,away,draw,home,away,
2019-10-24,HV 71  - Växjö Lakers HC,4 - 1,"1-0, 2-0, 1-1",6389,10371,441889,shl,2019/20,HV 71,Växjö Lakers HC,4,1,1-0, 2-0, 1-1,,,1,0,2,0,1,1,,,,,home,home,home,draw,,
2019-10-24,Linköping HC  - Färjestad BK,3 - 4,"2-0, 0-1, 1-2, 0-1",4878,10371,441890,shl,2019/20,Linköping HC,Färjestad BK,3,4,2-0, 0-1, 1-2, 0-1,,2,0,0,1,1,2,0.0,1.0,,,draw,home,away,away,away,
2019-10-24,Leksands IF  - Örebro HK,3 - 5,"1-1, 1-2, 1-2",5402,10371,441893,shl,2019/20,Leksands IF,Örebro HK,3,5,1-1, 1-2, 1-2,,,1,1,1,2,1,2,,,,,away,draw,away,away,,
2019-10-26,Brynäs IF  - Leksands IF,3 - 2,"1-1, 1-1, 0-0, 0-0, 1-0",7909,10371,441894,shl,2019/20,Brynäs IF,Leksands IF,3,2,1-1, 1-1, 0-0, 0-0, 1-0,1,1,1,1,0,0,0.0,0.0,1.0,0.0,draw,draw,draw,draw,draw,home
2019-10-26,Djurgårdens IF  - IK Oskarshamn,3 - 2,"1-0, 0-2, 1-0, 1-0",6127,10371,441895,shl,2019/20,Djurgårdens IF,IK Oskarshamn,3,2,1-0, 0-2, 1-0, 1-0,,1,0,0,2,1,0,1.0,0.0,,,draw,home,away,home,home,
2019-10-26,Frölunda HC  - Skellefteå AIK,5 - 1,"3-0, 0-1, 2-0",10370,10371,441897,shl,2019/20,Frölunda HC,Skellefteå AIK,5,1,3-0, 0-1, 2-0,,,3,0,0,1,2,0,,,,,home,home,away,home,,
2019-10-26,Färjestad BK  - HV 71,3 - 2,"2-1, 0-0, 1-1",7197,10371,441896,shl,2019/20,Färjestad BK,HV 71,3,2,2-1, 0-0, 1-1,,,2,1,0,0,1,1,,,,,home,home,draw,draw,,
2019-10-26,Luleå HF  - IF Malmö Redhawks,3 - 0,"2-0, 1-0, 0-0",5571,10371,441898,shl,2019/20,Luleå HF,IF Malmö Redhawks,3,0,2-0, 1-0, 0-0,,,2,0,1,0,0,0,,,,,home,home,home,draw,,
2019-10-26,Rögle BK  - Örebro HK,2 - 3,"1-1, 1-1, 0-1",4850,10371,441899,shl,2019/20,Rögle BK,Örebro HK,2,3,1-1, 1-1, 0-1,,,1,1,1,1,0,1,,,,,away,draw,draw,away,,
2019-10-26,Växjö Lakers HC  - Linköping HC,6 - 2,"0-2, 4-0, 2-0",4346,10371,441900,shl,2019/20,Växjö Lakers HC,Linköping HC,6,2,0-2, 4-0, 2-0,,,0,2,4,0,2,0,,,,,home,away,home,home,,
2019-10-29,Brynäs IF  - IF Malmö Redhawks,2 - 5,"1-1, 1-2, 0-2",5556,10371,441817,shl,2019/20,Brynäs IF,IF Malmö Redhawks,2,5,1-1, 1-2, 0-2,,,1,1,1,2,0,2,,,,,away,draw,away,away,,
2019-10-29,Djurgårdens IF  - Rögle BK,1 - 5,"0-1, 1-4, 0-0",6161,10371,441965,shl,2019/20,Djurgårdens IF,Rögle BK,1,5,0-1, 1-4, 0-0,,,0,1,1,4,0,0,,,,,away,away,away,draw,,
2019-10-31,Växjö Lakers HC  - Leksands IF,2 - 4,"1-2, 0-0, 1-2",5326,10371,441858,shl,2019/20,Växjö Lakers HC,Leksands IF,2,4,1-2, 0-0, 1-2,,,1,2,0,0,1,2,,,,,away,away,draw,away,,
2019-10-31,Linköping HC  - HV 71,5 - 3,"2-1, 1-2, 2-0",6886,10371,441901,shl,2019/20,Linköping HC,HV 71,5,3,2-1, 1-2, 2-0,,,2,1,1,2,2,0,,,,,home,home,away,home,,
2019-10-31,Luleå HF  - Rögle BK,4 - 1,"1-0, 2-0, 1-1",5668,10371,441902,shl,2019/20,Luleå HF,Rögle BK,4,1,1-0, 2-0, 1-1,,,1,0,2,0,1,1,,,,,home,home,home,draw,,
2019-10-31,IF Malmö Redhawks  - Frölunda HC,3 - 2,"1-0, 2-2, 0-0",6244,10371,441903,shl,2019/20,IF Malmö Redhawks,Frölunda HC,3,2,1-0, 2-2, 0-0,,,1,0,2,2,0,0,,,,,home,home,draw,draw,,
2019-10-31,IK Oskarshamn  - Brynäs IF,3 - 2,"0-1, 2-1, 0-0, 1-0",3257,10371,441904,shl,2019/20,IK Oskarshamn,Brynäs IF,3,2,0-1, 2-1, 0-0, 1-0,,0,1,2,1,0,0,1.0,0.0,,,draw,away,home,draw,home,
2019-10-31,Örebro HK  - Färjestad BK,5 - 2,"1-0, 3-1, 1-1",5500,10371,441905,shl,2019/20,Örebro HK,Färjestad BK,5,2,1-0, 3-1, 1-1,,,1,0,3,1,1,1,,,,,home,home,home,draw,,
