,date,game,score,periodscore,spectators,schedule_id,game_id,league,season,home,away,score_home,score_away,p1score,p2score,p3score,p4score,p5score,p1score_home,p1score_away,p2score_home,p2score_away,p3score_home,p3score_away,p4score_home,p4score_away,p5score_home,p5score_away,result,result_p1,result_p2,result_p3,result_p4,result_p5
1757,2017-02-16 ,Luleå HF  - Örebro HK,2 - 1,"0-1, 2-0, 0-0",4473.0,7132,302080.0,shl,2016/17,Luleå HF,Örebro HK,2.0,1.0,0-1, 2-0, 0-0,,,0.0,1.0,2.0,0.0,0.0,0.0,,,,,home,away,home,draw,,
1758,2017-02-16 ,Skellefteå AIK  - Växjö Lakers HC,4 - 5,"1-1, 1-2, 2-1, 0-1",4342.0,7132,302081.0,shl,2016/17,Skellefteå AIK,Växjö Lakers HC,4.0,5.0,1-1, 1-2, 2-1, 0-1,,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,,,draw,draw,away,home,away,
1759,2017-02-16 ,Brynäs IF  - Leksands IF,4 - 0,"3-0, 1-0, 0-0",7909.0,7132,302082.0,shl,2016/17,Brynäs IF,Leksands IF,4.0,0.0,3-0, 1-0, 0-0,,,3.0,0.0,1.0,0.0,0.0,0.0,,,,,home,home,home,draw,,
1760,2017-02-16 ,Frölunda HC  - Djurgårdens IF,2 - 1,"1-1, 0-0, 0-0, 1-0",9340.0,7132,302083.0,shl,2016/17,Frölunda HC,Djurgårdens IF,2.0,1.0,1-1, 0-0, 0-0, 1-0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,draw,draw,draw,draw,home,
1761,2017-02-16 ,HV 71  - IF Malmö Redhawks,3 - 6,"2-1, 0-2, 1-3",6179.0,7132,302084.0,shl,2016/17,HV 71,IF Malmö Redhawks,3.0,6.0,2-1, 0-2, 1-3,,,2.0,1.0,0.0,2.0,1.0,3.0,,,,,away,home,away,away,,
1762,2017-02-17 ,Färjestad BK  - Rögle BK,4 - 5,"1-0, 1-2, 2-3",6164.0,7132,302085.0,shl,2016/17,Färjestad BK,Rögle BK,4.0,5.0,1-0, 1-2, 2-3,,,1.0,0.0,1.0,2.0,2.0,3.0,,,,,away,home,away,away,,
1763,2017-02-17 ,Karlskrona HK  - Linköping HC,3 - 1,"1-0, 0-0, 2-1",3349.0,7132,302086.0,shl,2016/17,Karlskrona HK,Linköping HC,3.0,1.0,1-0, 0-0, 2-1,,,1.0,0.0,0.0,0.0,2.0,1.0,,,,,home,home,draw,home,,
1764,2017-02-18 ,Leksands IF  - Växjö Lakers HC,0 - 6,"0-3, 0-1, 0-2",5175.0,7132,302087.0,shl,2016/17,Leksands IF,Växjö Lakers HC,0.0,6.0,0-3, 0-1, 0-2,,,0.0,3.0,0.0,1.0,0.0,2.0,,,,,away,away,away,away,,
1765,2017-02-18 ,Luleå HF  - Frölunda HC,4 - 2,"0-0, 3-2, 1-0",5540.0,7132,302088.0,shl,2016/17,Luleå HF,Frölunda HC,4.0,2.0,0-0, 3-2, 1-0,,,0.0,0.0,3.0,2.0,1.0,0.0,,,,,home,draw,home,home,,
1766,2017-02-18 ,Skellefteå AIK  - Djurgårdens IF,3 - 2,"0-0, 1-1, 2-1",5380.0,7132,302089.0,shl,2016/17,Skellefteå AIK,Djurgårdens IF,3.0,2.0,0-0, 1-1, 2-1,,,0.0,0.0,1.0,1.0,2.0,1.0,,,,,home,draw,draw,home,,
1767,2017-02-18 ,IF Malmö Redhawks  - Brynäs IF,2 - 3,"0-0, 2-3, 0-0",6905.0,7132,302090.0,shl,2016/17,IF Malmö Redhawks,Brynäs IF,2.0,3.0,0-0, 2-3, 0-0,,,0.0,0.0,2.0,3.0,0.0,0.0,,,,,away,draw,away,draw,,
1768,2017-02-18 ,Örebro HK  - HV 71,0 - 3,"0-0, 0-0, 0-3",5500.0,7132,302091.0,shl,2016/17,Örebro HK,HV 71,0.0,3.0,0-0, 0-0, 0-3,,,0.0,0.0,0.0,0.0,0.0,3.0,,,,,away,draw,draw,away,,
1769,2017-02-18 ,Rögle BK  - Färjestad BK,2 - 1,"1-0, 1-1, 0-0",3811.0,7132,302092.0,shl,2016/17,Rögle BK,Färjestad BK,2.0,1.0,1-0, 1-1, 0-0,,,1.0,0.0,1.0,1.0,0.0,0.0,,,,,home,home,draw,draw,,
1770,2017-02-18 ,Linköping HC  - Karlskrona HK,3 - 2,"0-0, 1-1, 2-1",6089.0,7132,302093.0,shl,2016/17,Linköping HC,Karlskrona HK,3.0,2.0,0-0, 1-1, 2-1,,,0.0,0.0,1.0,1.0,2.0,1.0,,,,,home,draw,draw,home,,
1771,2017-02-21 ,Örebro HK  - Brynäs IF,3 - 6,"0-3, 2-2, 1-1",5309.0,7132,302094.0,shl,2016/17,Örebro HK,Brynäs IF,3.0,6.0,0-3, 2-2, 1-1,,,0.0,3.0,2.0,2.0,1.0,1.0,,,,,away,away,draw,draw,,
1772,2017-02-21 ,Rögle BK  - Linköping HC,3 - 2,"2-0, 0-1, 0-1, 0-0, 1-0",3351.0,7132,302095.0,shl,2016/17,Rögle BK,Linköping HC,3.0,2.0,2-0, 0-1, 0-1, 0-0, 1-0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,draw,home,away,away,draw,home
1773,2017-02-21 ,Växjö Lakers HC  - Luleå HF,3 - 2,"0-0, 0-2, 2-0, 1-0",4748.0,7132,302096.0,shl,2016/17,Växjö Lakers HC,Luleå HF,3.0,2.0,0-0, 0-2, 2-0, 1-0,,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,,,draw,draw,away,home,home,
1774,2017-02-21 ,Djurgårdens IF  - Färjestad BK,0 - 2,"0-0, 0-2, 0-0",6576.0,7132,302097.0,shl,2016/17,Djurgårdens IF,Färjestad BK,0.0,2.0,0-0, 0-2, 0-0,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,away,draw,away,draw,,
1775,2017-02-21 ,Karlskrona HK  - IF Malmö Redhawks,1 - 3,"1-1, 0-1, 0-1",3683.0,7132,302098.0,shl,2016/17,Karlskrona HK,IF Malmö Redhawks,1.0,3.0,1-1, 0-1, 0-1,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,,away,draw,away,away,,
1776,2017-02-22 ,Leksands IF  - Skellefteå AIK,1 - 3,"1-2, 0-0, 0-1",4309.0,7132,302099.0,shl,2016/17,Leksands IF,Skellefteå AIK,1.0,3.0,1-2, 0-0, 0-1,,,1.0,2.0,0.0,0.0,0.0,1.0,,,,,away,away,draw,away,,
1777,2017-02-22 ,HV 71  - Frölunda HC,2 - 1,"0-0, 0-0, 1-1, 1-0",6818.0,7132,302100.0,shl,2016/17,HV 71,Frölunda HC,2.0,1.0,0-0, 0-0, 1-1, 1-0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,draw,draw,draw,draw,home,
1778,2017-01-24 ,Skellefteå AIK  - HV 71,3 - 2,"0-2, 1-0, 2-0",4423.0,7132,302101.0,shl,2016/17,Skellefteå AIK,HV 71,3.0,2.0,0-2, 1-0, 2-0,,,0.0,2.0,1.0,0.0,2.0,0.0,,,,,home,away,home,home,,
1779,2017-02-23 ,Luleå HF  - Djurgårdens IF,1 - 2,"0-1, 0-0, 1-0, 0-1",4868.0,7132,302102.0,shl,2016/17,Luleå HF,Djurgårdens IF,1.0,2.0,0-1, 0-0, 1-0, 0-1,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,draw,away,draw,home,away,
1780,2017-02-23 ,Brynäs IF  - Rögle BK,4 - 1,"1-0, 2-1, 1-0",4510.0,7132,302103.0,shl,2016/17,Brynäs IF,Rögle BK,4.0,1.0,1-0, 2-1, 1-0,,,1.0,0.0,2.0,1.0,1.0,0.0,,,,,home,home,home,home,,
1781,2017-02-23 ,IF Malmö Redhawks  - Växjö Lakers HC,4 - 3,"2-0, 0-0, 1-3, 0-0, 1-0",6043.0,7132,302104.0,shl,2016/17,IF Malmö Redhawks,Växjö Lakers HC,4.0,3.0,2-0, 0-0, 1-3, 0-0, 1-0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,draw,home,draw,away,draw,home
1782,2017-02-23 ,Färjestad BK  - Karlskrona HK,2 - 0,"1-0, 0-0, 1-0",5360.0,7132,302105.0,shl,2016/17,Färjestad BK,Karlskrona HK,2.0,0.0,1-0, 0-0, 1-0,,,1.0,0.0,0.0,0.0,1.0,0.0,,,,,home,home,draw,home,,
1783,2017-02-23 ,Linköping HC  - Örebro HK,5 - 1,"3-1, 1-0, 1-0",5226.0,7132,302106.0,shl,2016/17,Linköping HC,Örebro HK,5.0,1.0,3-1, 1-0, 1-0,,,3.0,1.0,1.0,0.0,1.0,0.0,,,,,home,home,home,home,,
1784,2017-02-24 ,Frölunda HC  - Leksands IF,1 - 5,"0-1, 0-1, 1-3",5507.0,7132,302107.0,shl,2016/17,Frölunda HC,Leksands IF,1.0,5.0,0-1, 0-1, 1-3,,,0.0,1.0,0.0,1.0,1.0,3.0,,,,,away,away,away,away,,
1785,2016-10-01 ,Rögle BK  - IF Malmö Redhawks,6 - 7,"3-3, 1-3, 2-1",5051.0,7132,302108.0,shl,2016/17,Rögle BK,IF Malmö Redhawks,6.0,7.0,3-3, 1-3, 2-1,,,3.0,3.0,1.0,3.0,2.0,1.0,,,,,away,draw,away,home,,
